Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email
Il Fòllaro,Seafood restaurant,http://www.ilfollaroristorante.com/,346 393 2593,SP235,Palmariggi,Lecce,ilfollaro1@gmail.com
Agriturismo Serra Vecchia,Restaurant,https://agriturismo-serra-vecchia.mondoinviaggio.top/,329 796 1405,"Via Serra Vecchia, 16",Giuggianello,Lecce,
GRECALE craft beer station,Bar & grill,,328 819 5201,"SP62, 63",Giuggianello,Lecce,
Trattoria Il Palazzo Di Antonaci Andrea,Seafood restaurant,,339 305 3537,"Via G. Mazzini, 14",Giuggianello,Lecce,
Pizzeria Alba,Pizza restaurant,,328 859 1670,"Via Montello, 24",Giuggianello,Lecce,
Don Ciro Pizza Napoletana,Pizza restaurant,https://www.donciropizzanapoletana.it/,351 701 1610,"Via Palmiro Togliatti, 72",Aradeo,Lecce,la-tua@email.com
Tipiko Ristorante,Restaurant,https://salentovip.it/listings/tipiko/,0836 213198,"Via Vittorio Bachelet, 2",Aradeo,Lecce,
TENUTA LA MONACA Agriturismo e BeB,Farmstay,,368 378 9396,LOCALITA MANDRELLE,Aradeo,Lecce,
Li Frizzuli,Restaurant,https://www.facebook.com/Ristorante-Li-Frizzuli-113958588631847/,0836 556010,"Via Sereni, 12",Aradeo,Lecce,
Araknos,Pizza restaurant,,0836 552965,"Via Bosco, 148",Aradeo,Lecce,
Lu Spilu Trattoria,Italian restaurant,https://web-menu.cassanova.com/2477c11c-d826-4858-92e9-587686884aa3/22044/categories,337 118 4618,"Viale della Repubblica, 6",Aradeo,Lecce,
Pizzeria Minerba,Pizza restaurant,,0836 554615,"Via Neruda, 1",Aradeo,Lecce,
Giorè,Restaurant,https://social.quandoo.com/en/groups/gior%C3%A8-102168,335 843 8990,"Piazzetta Grassi, 1",Aradeo,Lecce,
Cotto & Mangiato da zii Fausto,Pizza restaurant,https://www.facebook.com/cottoemangiatodaziofaustoaradeo/,0836 554479,"Via Salvo D'Acquisto, 11",Aradeo,Lecce,
GOTHA RISTORANTE PIZZERIA,Mediterranean restaurant,,339 593 7549,,Aradeo,Lecce,
Antica Tenuta Cornacchia,Restaurant,https://samanthastraveltips.com/appartamento-white-melendugno-italy,0836 552902,,Contrada Spina,Lecce,
Sagra te lu pummitoru schiattarisciatu,Restaurant,https://www.facebook.com/sagratelupummitoruschiattarisciatuARADEO/,,Viale Nicola Frigino,Aradeo,Lecce,
Premiata Pasticceria Impero,Cake shop,,0836 554193,"Via Filippo Turati, 6",Aradeo,Lecce,
I Pizzettari - Aradeo,Pizza restaurant,https://www.facebook.com/ipizzettariaradeo,338 770 1529,"LE, Viale Nicola Frigino, 18",Aradeo,Lecce,
Pizza&Pizza,Pizza restaurant,,393 109 5631,"Via Osanna, 2",Aradeo,Lecce,
Skatafashow Aradeo,Italian restaurant,http://www.skatafashow.com/,0836 307474,"Viale Nicola Frigino, 34",Aradeo,Lecce,meta_images_touchIcon@2x.png
MAMACITA,Sandwich shop,,0836 176 5541,"Via Congrua, 3",Aradeo,Lecce,
Coco Loco Aradeo,Sundae restaurant,https://instagram.com/pasticceriapalmieri?igshid=6otizo8e6btc,333 134 1261,"Via Palmiro Togliatti, 118",Aradeo,Lecce,
Maison Del Gusto,Ice cream shop,https://www.instagram.com/mdg.aradeo?igsh=YXB5ZWkyNWd0Z2E1,371 149 2052,"Via A. Einstein, 20",Aradeo,Lecce,
Makò Sushi & Wok,Pan-Asian restaurant,,0836 309606,"Viale Nicola Frigino, 54",Aradeo,Lecce,
Antonio cucina officina,Southern Italian restaurant,http://www.antonioristorante.it/,389 966 6177,"Via R. Morandi, 9",Aradeo,Lecce,colucciamario_4320@libero.it
L'Autentica di Gianni Mighali,Butcher shop deli,,0836 315585,"Via Palmiro Togliatti, 29",Aradeo,Lecce,
La Meglio Gioventù Bar,Espresso bar,,,"Via A. Einstein, 21",Aradeo,Lecce,
L'Autentica di Gianni Mighali,Butcher shop deli,,0836 315585,"Via Palmiro Togliatti, 29",Aradeo,Lecce,
Coco Loco Aradeo,Sundae restaurant,https://instagram.com/pasticceriapalmieri?igshid=6otizo8e6btc,333 134 1261,"Via Palmiro Togliatti, 118",Aradeo,Lecce,
Pizza&Pizza,Pizza restaurant,,393 109 5631,"Via Osanna, 2",Aradeo,Lecce,
Lu Bambu,Pizza restaurant,https://www.pizzerialubambu.it/,338 902 6306,"Strada Comunale Gentiluomo, 25",Aradeo,Lecce,arcuti.pietro@libero.it
Il giardino delle Clarisse,Restaurant,https://social.quandoo.com/en/groups/il-giardino-delle-clarisse-103310,333 838 0048,"P.za del Popolo, 7",Copertino,Lecce,
"Arco Divino,Piazza Castello",Restaurant,http://www.arcodivinocopertino.com/,371 390 7552,"Piazza Castello, 12",Copertino,Lecce,
