Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Noleggio Maurizio,Servizio di noleggio biciclette,,335 371 072,"Via Publio Ovidio Nasone, 58B",Bellaria-Igea Marina,,,,,,,,,,,
Noleggio Bertozzi,Servizio di noleggio biciclette,,339 186 6891,"Via Alfredo Panzini, 68",Bellaria-Igea Marina,,,,,,,,,,,
Moto Europa srl,Concessionario moto,https://www.motoeuropasrl.it/,0545 45112,"Via Gregorio Ricci Curbastro, 46",Sant'Agata sul Santerno,,info@motoeuropasrl.it,https,Shopify,Sì,WEBSITEWELCOME.COM,44,65,83.00,Sì,No
Blue Bike Reggio Emilia,Concessionario moto,http://www.bluebike-re.it/,0522 383400,"/26, Via Hiroshima, 24",Reggio Emilia,,info@bluebike-re.it,https,React,Sì,Aruba S.p.A.,0,36,92.00,Sì,No
Noleggio Cicli e Motocicli Pirani,Servizio di noleggio biciclette,,328 418 2388,"Via Alfredo Panzini, 117",Bellaria-Igea Marina,,,,,,,,,,,
Travelhoo,Agenzia viaggi,http://www.travelhoo.it/,051 656 9651,"Via Caduti di Cefalonia, 4",Bologna,,,https,Shopify,Sì,Aruba S.p.A.,40,69,75.00,Sì,No
"Dai Gas Nolo - Noleggio Auto, Furgoni, Pulmini 9 Posti, Moto e Scooter.",Agenzia di noleggio auto,https://www.daigas-noleggiobologna.com/,388 866 9964,"Via dei Lapidari, 8e",Bologna,,info@daigasnolo.it,https,WordPress,Sì,Hetzner Online GmbH,60,69,100.00,Sì,No
MotoRiciclo,Negozio,http://www.motoriciclo.it/,051 345031,"Via Giuseppe Massarenti, 99",Bologna,,info@motoriciclo.it,http,Shopify,No,Hetzner Online GmbH,84,100,85.00,Sì,No
MONTIBIKE | Vendita e noleggio e-bike,Negozio di biciclette,,338 207 5753,"SP138, 124",Bagno di Romagna,,,,,,,,,,,
Motonoleggio Sereno,Agenzia di noleggio moto,https://www.motonoleggiosereno.it/,331 104 9129,"Via Reale, 27/A",Ravenna,,info@motonoleggiosereno.it,https,React,Sì,WEBSITEWELCOME.COM,42,65,83.00,Sì,No
