Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
De Bellis Rosa,Negozio di alimentari,,0881 593346,"Via Giardino, 65",Biccari,,,,,,,,,,,
ANNA BICCARI HAIR & MAKE UP di Biccari Carmela,Salone da parrucchiere,,349 641 7809,"Via Callisto Azzariti, 4",Foggia,,,,,,,,,,,
'I Biccari' Di Biccari Lolletto,Salone da parrucchiere,,0881 714631,"Piazza Aldo Moro, 68",Foggia,,,,,,,,,,,
L’Angolo della Venere di Domenica Di Nunzio e Anna Di Nunzio,Centro salute e bellezza,,0884 900067,"Via S. Cirillo, 68",Carpino,,,,,,,,,,,
Hairdresser Salone da parrucchiera di Nicastro Carmela,Salone da parrucchiere,,0881 981739,"Piazza Andrea Manelli, 2",Accadia,,,,,,,,,,,
Don Papa Barber,Barbiere,,342 088 8528,"Via Giuseppe Mirabella, 84",Accadia,,,,,,,,,,,
Antonacci Matteo,Salone da parrucchiere,,328 342 1621,"Via Mazzini, 53",Carpino,,,,,,,,,,,
Mayer Parrucchieri,Salone da parrucchiere,,391 747 2960,"Viale Giuseppe la Torre, 35",Foggia,,,,,,,,,,,
Biccari Nino,Salone da parrucchiere,,0881 632951,"Viale Ofanto, 226",Foggia,,,,,,,,,,,
Nuova Immagine Hair Style di Morese Salvatore,Salone da parrucchiere,,349 401 4570,"Viale Roma, 15",Accadia,,,,,,,,,,,
PAOLODAPOLLO parrucchieri,Parrucchiere,,0885 651450,"Via Duomo, 1",Ascoli Satriano,,,,,,,,,,,
Facenna Giuseppe,Barbiere,,0884 900127,"Corso Vittorio Emanuele, 5",Carpino,,,,,,,,,,,
Spinetti Maria,Salone da parrucchiere,,333 155 4494,"Via Camillo Conte di Cavour, 21",Ascoli Satriano,,,,,,,,,,,
La Chioma di Venere,Parrucchiere,,340 607 1824,"Corso Umberto I, 47",Ascoli Satriano,,,,,,,,,,,
Free Style di Anna Brescia,Parrucchiere,,338 474 3331,"Via Frate Mariano, 13",Ascoli Satriano,,,,,,,,,,,
Iosa Alessandro Nicola,Salone da parrucchiere,,0881 554651,"V.le Regina Margherita, 60",Celenza Valfortore,,,,,,,,,,,
Iamele Michele,Medico,,0881 552484,"Corso Europa, 48",Carlantino,,,,,,,,,,,
Fratelli Carlucci,Salone da parrucchiere,,338 831 6430,"Piazza Giovanni Paolo II Papa, n°15",Ascoli Satriano,,,,,,,,,,,
CUTAIO BARBER ROOM,Salone da parrucchiere,,340 725 5975,"Via Fabio Filzi, 59",Casalvecchio di Puglia,,,,,,,,,,,
Carnevale Fernando,Salone da parrucchiere,,0874 728759,"Via Genio, 24",Santa Croce di Magliano,,,,,,,,,,,
Modà parrucchiera,Salone da parrucchiere,,345 013 0125,"Corso Vittorio Emanuele, 64",San Giuliano di Puglia,,,,,,,,,,,
Farmacia San Francesco snc,Farmacia,,0881 552020,"Corso Europa, 163",Carlantino,,,,,,,,,,,
Parente Matteo,Salone da parrucchiere,,0881 558548,"71033, 95, Corso Pietro Parente",Casalnuovo Monterotaro,,,,,,,,,,,
Carozza Graziano Nicola,Salone da parrucchiere,,0874 810358,"Via Mazzini, 39",Macchia Valfortore,,,,,,,,,,,
Minimarket Despar Di Basile Costantina,Negozio di alimentari,,0881 591012,"Via Giardino, 32",Biccari,,,,,,,,,,,
Carisma di Di Maria Michelino,Salone da parrucchiere,,0874 719871,"Via Nazionale Sannitica, 52, Strada Statale 17, 86013",Gambatesa,,,,,,,,,,,
Hair Styling Mario di Vignali Mario,Salone da parrucchiere,,0881 553422,"Vico III Chiesa Matrice, 3",Casalvecchio di Puglia,,,,,,,,,,,
Mai di Lunedì di Lina Farinola,Parrucchiere,,380 740 4684,"Via Luigi Zuppetta, 11",Castelnuovo della Daunia,,,,,,,,,,,
Iarocci Giusi,Salone da parrucchiere,,0874 730765,"Via Guglielmo Marconi, 75",Colletorto,,,,,,,,,,,
Micaroni Antonietta,Salone da parrucchiere,,0874 841161,"Corso Roma, 91",Casacalenda,,,,,,,,,,,
Poliambulatorio e Guarda Medica Alberona - ASL FG - DSS 58 Lucera,Servizi medici locali,,0881 592449,"Via Mancini, 1",Alberona,,,,,,,,,,,
Hair Fashion Di Roberta Ritucci,Salone da parrucchiere,,0874 730795,"Via Guglielmo Marconi, 149",Colletorto,,,,,,,,,,,
Parrucchiera Colpo di Phon,Salone da parrucchiere,,02 989 6369,"Corso Europa, 1",Cassino D'alberi,,,,,,,,,,,
Euphoria Parrucchiera,Parrucchiere,,366 366 1534,"Via Sant'Anna, 19",Baselga di Pinè,,,,,,,,,,,
Marino Barber,Barbiere,,339 420 0823,"Via Cavour, 20",Trinitapoli,,,,,,,,,,,
Frank the Barber - Tiritiello Francesco,Barbiere,,388 253 1446,"Via Fratelli Cervi, 46",Trinitapoli,,,,,,,,,,,
L'antica barberia1969,Barbiere,,380 340 3824,Via Cairoli,Trinitapoli,,,,,,,,,,,
Stile donna di Rizzi Giuseppe,Salone da parrucchiere,,327 558 2466,"Via Guglielmo Marconi, 62",Trinitapoli,,,,,,,,,,,
Hairdresser di Stefano Veneziano,Salone da parrucchiere,,330 936 101,"Corso Garibaldi, 89",Trinitapoli,,,,,,,,,,,
Trinity Barber,Barbiere,,351 034 7762,"Via Martiri di Via Fani, 56/58",Trinitapoli,,,,,,,,,,,
Poliambulatorio e Guardia Medica Carlantino - ASL FG - DSS 58 Lucera,Servizi medici locali,,0881 552501,"Via Polonia, 1",Carlantino,,,,,,,,,,,
