Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Cantine Due Palme - Punto Vendita di Arnesano di Andrea Quarta,Azienda vinicola,,340 579 6932,STRADA PROVINCIALE LECCE-ARNESANO SN,Arnesano,,,,,,,,,,,
Bolle di Sapone,Lavanderia automatica,,379 145 8939,"Via Materdomini, 38/A",Arnesano,,,,,,,,,,,
DIVERTILANDIA AGENZIA ANIMAZIONE EVENTI sala feste anche a domicilio,Impresa di organizzazione di eventi,,329 634 6316,Via Madonna montevergine 6 73010 Arnesano,lecce,,,,,,,,,,,
Lavanderia Esposito,Lavanderia,,351 897 1731,"Via Giuseppe Mazzini, 11",Arnesano,,,,,,,,,,,
Ever srl,Azienda di energia solare,,389 854 9083,SP119,Arnesano,,,,,,,,,,,
Tre Gi s.r.l. - Sede Operativa,Azienda di confezionamento,https://www.tregisrl.net/,0832 324149,"Via Donatello, snc",Arnesano,,amministrazione@tregisrl.net,https,React,No,Aruba S.p.A.,60,52,91.00,Sì,No
Casina Spezzaferri,Azienda vinicola,https://www.casinaspezzaferri.com/,351 777 8312,"Via Taurino Brillo, 8",Arnesano,,,https,React,No,Keliweb S.R.L,74,88,100.00,Sì,No
Ritorno Alla Terra,Fattoria,,380 794 3805,"Via Madonna di Montevergine, 4",Arnesano,,,,,,,,,,,
Melograni Martino - Melagrane del Salento,Frutteto,https://www.melogranimartino.com/,328 793 7661,"Strada Provinciale Lecce - Arnesano, snc",Monteroni di Lecce,,info@melogranimartino.com,https,WordPress,No,Aruba S.p.A.,38,86,92.00,Sì,No
I.S.Art Di Guido Emanuele,Ditta specializzata in marmi,http://www.isart.le.it/,0832 326255,"Via Salvo D'Acquisto, sn",Arnesano,,,http,ASP.NET,No,Aruba S.p.A.,67,97,92.00,Sì,No
Supermercati Pantaleo,Negozio di alimentari,,327 575 2393,"Via Cesare Battisti, 2",Andrano,,,,,,,,,,,
Calema | Pompe di Calore Fotovoltaico Infissi,Idraulico,http://www.calemacasa.it/,0832 181 6081,"Via Giovanni Boccaccio, 2",Arnesano,,info@calemacasa.it,https,Joomla,No,Server Plan S.r.l.,31,87,100.00,Sì,No
Lavanderia Accogli,Lavanderia,,0836 926691,"Via Avezzato, 11",Andrano,,,,,,,,,,,
F.lli Accoto,Fornitore di trattori e macchine agricole,,0836 926012,"Via Provinciale, 196",Andrano,,,,,,,,,,,
Agenzia Funebre Iris di Nuzzo Rocco,Agenzia funebre,,328 028 8026,"Via Giosuè Carducci, 13",Andrano,,,,,,,,,,,
Accoto Luigi,Spedizioniere marittimo,,0836 926090,"Via Alcide De Gasperi, 8",Andrano,,,,,,,,,,,
Cooperativa Nuova Contadina,Negozio di articoli biologici,https://nuovacontadina.it/,0836 929249,SP85,Andrano,,nuovacontadina@gmail.com,https,WordPress,No,Aruba S.p.A.,62,92,92.00,Sì,No
Rogial`s Tie Srl,Produzione e ingrosso abbigliamento,,0836 969133,"Via della Repubblica, 64",Andrano,,,,,,,,,,,
Macelleria Nuzzo,Macelleria,,320 252 8197,"Via Risorgimento, 7",Andrano,,,,,,,,,,,
M.House Eventi,Organizzatore di feste,https://www.mhouse-eventi.it/,327 751 6282,"Via Libertà, 3",Arnesano,,,https,React,Sì,Google LLC,67,82,92.00,Sì,No
Agricola Papaleo,Servizio agricolo,,320 312 0064,"V. Vincenzo Papaleo, 52",Bagnolo del Salento,,,,,,,,,,,
Interarreda Arredamenti - Bagnolo del Salento,Negozio di mobili,,0836 318464,"V. Vincenzo Papaleo, 84",Bagnolo del Salento,,,,,,,,,,,
Continuità Assistenziale (Guardia Medica),Punto di pronto soccorso,,0836 318062,Via Rosario Mancini,Bagnolo del Salento,,,,,,,,,,,
Societa Agricola Co.Vi.Ser.,Fiorista,,0832 321066,"Strada Vicinale Condò, 29",Arnesano,,,,,,,,,,,
DRY TEC s.r.l.,Negozio di lavatrici e asciugatrici,http://www.dry-tec.it/,0832 322216,"Via Donatello, 53/55",Arnesano,,drytecsas@gmail.com,https,Shopify,Sì,Google LLC,59,89,100.00,Sì,No
Agrilevante Soc. Coop. A.R.L.,Oleificio,,0836 925639,Via della Resistenza,Andrano,,,,,,,,,,,
CARROZZERIA D'ANDREA - AUTOFFICINA - CENTRO COLLAUDI - GOMMISTA,Carrozzeria,,0836 318052,"Via A. Gramsci, 6",Bagnolo del Salento,,,,,,,,,,,
D'Andrea Arredamenti,Negozio di mobili,https://www.dandreamobili.it/,0836 318190,"Via Aldo Moro, 8",Bagnolo del Salento,,,https,WordPress,No,Google LLC,0,0,0.00,Sì,No
Baldassarre Giorgio,Alimentari,,0836 411057,"Via Giovanni XXIII, 2",Bagnolo del Salento,,,,,,,,,,,
Menhir Salento S.p.A.,Ufficio aziendale,http://www.menhirsalento.it/,0836 818199,Via Salvatore Negro,Bagnolo del Salento,,commerciale@menhirsalento.com,https,Shopify,Sì,Keliweb S.R.L,66,93,92.00,Sì,No
Ristorante DonPippiRestaurant,Ristorante,,376 055 8657,"V. Vincenzo Papaleo, 52",Bagnolo del Salento,,,,,,,,,,,
Martinucci Laboratory - Alessano,Pasticceria,,0833 204472,"Via Fiume, 19",Alessano,,,,,,,,,,,
Azienda Agricola Le Matine Olio Extra Vergine d'Oliva,Oleificio,http://www.oliolematine.it/,333 319 0715,C.Da Matine,Alessano,,lematine@alice.it,https,WordPress,No,Netsons Network,46,57,92.00,Sì,No
Master Fruit 2.0 s.r.l. Alessano,Grossista di frutta e verdura,,389 183 9940,SS275,Alessano,,,,,,,,,,,
Isolp,Fornitore di prodotti alimentari,http://isolpsrl.it/,0833 781923,"Via Gonfalone, 61",Alessano,,info@isolpsrl.it,http,WordPress,Sì,Aruba S.p.A. Network,56,73,92.00,Sì,No
D'Alessandris Termoidraulica Elettricità Ferramenta,Negozio di forniture idrauliche,http://www.dalessandris.it/,0836 948241,"Via Dante Alighieri, 54",Andrano,,info@dalessandris.it,https,React,No,Serverplan S.r.l.,27,54,92.00,Sì,No
Orsi e Augenti assicurazioni,Agenzia di assicurazioni,,0833 524091,"Via Cappuccini, 55",Alessano,,,,,,,,,,,
"De Giorgi Cosimo E Figli Snc Distribuzione Bevande, Alcolici e Spiriti Nobili",Distribuzione di bevande,,0833 524444,Contrada Matine,Alessano,,,,,,,,,,,
Russo Antonio & C. Sas,Alimentari,,0833 522759,"VIA SS 275, Alessano, LE 73031",Alessano,,,,,,,,,,,
Laboratorio Analisi C.R. srl,Laboratorio medico,http://www.laboratorioanalisicr.it/,0833 524280,"SS275, 77",Alessano,,info@laboratorioanalisicr.it,https,Shopify,Sì,Keliweb S.R.L,57,78,85.00,Sì,No
Az. Agrituristica Matine - b&b Matine,Bed & Breakfast,http://www.agriturismomatine.com/,0833 524340,"Contrada Matine, 201",Alessano,,agriturismomatine@gmail.com,https,WordPress,No,Server Plan S.r.l.,69,66,85.00,Sì,No
Cooperativa Sociale 'L'Adelfia' S.R.L.,Organizzazione di servizi sociali,https://www.ladelfia.org/,0833 522052,"Via Portanova, 3",Alessano,,adelfialessano@libero.it,https,Shopify,No,Aruba S.p.A. Network,56,88,92.00,Sì,No
Guglielmo Costruzioni (S.R.L.),Impresa di costruzioni,,0836 318023,"Via Antonio Gramsci, 4",Cannole,,,,,,,,,,,
Elegant Serramenti s.r.l.,Fornitore di finestre,https://www.elegantserramenti.it/,0833 522911,Via Gonfalone,Alessano,,info@elegantseramenti.it,https,WordPress,Sì,Hetzner Online GmbH,25,51,85.00,Sì,No
Astemia,Negozio di vini,,346 366 4481,"Piazza S. Vincenzo, 33",Cannole,,,,,,,,,,,
Gemat,Centro di riciclaggio,https://www.gemat.it/,392 966 9085,SP79,Alessano,,,https,Joomla,No,Aruba S.p.A. Network,59,81,100.00,Sì,No
Pro Loco Cerceto Cannole,Centro informazioni turistiche,,0836 411042,Via Cesare Battisti,Cannole,,,,,,,,,,,
MICROCHIPS snc,Azienda informatica,https://www.microchips.it/,0833 781872,"Via Portanova, 1",Alessano,,info@microchips.it,https,ASP.NET,No,Aruba S.p.A.,61,65,64.00,Sì,No
A casa di Pablo,Ristorante,,393 444 2191,"Strada Provinciale 48n, 1",Cannole,,,,,,,,,,,
Fracap,Calzaturificio,http://www.fracap.it/,0832 321996,"Via Salvatore Fitto, snc",Arnesano,,info@fracap.it,https,WordPress,No,Hetzner Online GmbH,19,32,85.00,Sì,No
DE BLASI COSTRUZIONI SRL,Appaltatore,,349 840 0153,"Via G. Villani, 24",Cannole,,,,,,,,,,,
Foto Falco,Fotografo,,0836 411623,Via Roma,Cannole,,,,,,,,,,,
Kore,Villa,,339 762 1818,Str. Vicinale del Casino O Piper,Cannole,,,,,,,,,,,
Forno Causio,Fornaio,https://www.itarallidelsalento.it/,324 781 3747,"Piazza S. Vincenzo, 42",Cannole,,shop@itarallidelsalento.it,https,Shopify,No,OVH SAS,51,56,92.00,Sì,No
Azienda Agricola Masseria Campone Di Cantoro G,Fattoria,,0832 521299,"112, Via Novantacinquesimo Reggimento Fanteria, Lecce, Le 73100",Lecce,,,,,,,,,,,
Hydro System Srl,Consulente per impianti di produzione di energia,http://www.hydrosystem.it/,0833 522158,"Via Bari, 2",Alessano,,info@hydrosystem.it,https,WordPress,No,Host SpA,33,52,92.00,Sì,No
AgriBio Prodotti per l'Agricoltura,Fornitore di semi,,345 013 9169,"Via N. Sauro, 17",Botrugno,,,,,,,,,,,
Tenuta Pezzuto,Oleificio,,0532 206446,"Via Camillo Benso Conte di Cavour, 10/H",Botrugno,,,,,,,,,,,
Distributore IP,Benzinaio,https://ip.gruppoapi.com/ricerca-stazioni-servizio/station/47056?utm_source=google&utm_medium=organic&utm_campaign=yext&utm_content=47056,800 987 887,"S.P. Per Maglie, Snc",Bagnolo del Salento,,,https,React,No,"Amazon.com, Inc.",65,99,85.00,Sì,No
Caseificio Negro,Caseificio,,349 392 2481,"Via V. Bellini, 12",Botrugno,,,,,,,,,,,
Botrugno,Idraulico,,0836 483718,"Via G. Mangionello, 49",Maglie,,,,,,,,,,,
Spazio Enel Partner Alessano,Azienda fornitrice di energia elettrica,https://cappagi.it/?utm_source=google&utm_medium=GMBSitelink&utm_campaign=GMBSitelink_Alessano_0ANB,0833 186 7805,Via Bari,Alessano,,seplecce@gmail.com,https,Shopify,No,OVH SAS,50,49,85.00,Sì,No
Salento Fiori - Ingrosso fiori a Botrugno (LE),Fiorista all'ingrosso,,366 177 0406,"Via Daniele Manin, 24",Botrugno,,,,,,,,,,,
