Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
La Nonna Titti,Bed & Breakfast,,360 444 703,"Via Enrico Fermi, 2",Casalnuovo Monterotaro,,,,,,,,,,,
B&B Marconi,Bed & Breakfast,,347 242 1672,"Via Po, 29",Poggio Imperiale,,,,,,,,,,,
B&B Poggio Marano,Bed & Breakfast,,329 543 7790,"Località Marano, 7",San Bartolomeo in Galdo,,,,,,,,,,,
B&B Da Nicola,Bed & Breakfast,,331 288 3795,"Via Giovanni Pascoli, 9",Poggio Imperiale,,,,,,,,,,,
Beb A CASA D NENÉ,Bed & Breakfast,,345 455 9874,"Via Cesare Battisti, 117",Lesina,,,,,,,,,,,
B&B Federico II,Bed & Breakfast,,346 825 5931,Corso Generale Torelli,Apricena,,,,,,,,,,,
Dimora Cifelli B&B,Bed & Breakfast,,349 773 9543,"Via Mazzini, 54",Macchia Valfortore,,,,,,,,,,,
Agriturismo Occhito,Agriturismo,,380 695 1388,Cda Fosso Giuriachi,Macchia Valfortore,,,,,,,,,,,
Relais San Marco Luxury Guest House,Bed & Breakfast,,389 915 4736,Via S. Marco,Volturino,,,,,,,,,,,
Grotta degli Ulivi,Ristorante,http://www.grottadegliulivi.it/,0882 645834,Contrada Dell'Incoronata,Apricena,,,http,WordPress,No,Serverplan s.r.l.,62,90,100.00,Sì,No
Bed & Breakfast Gargano,Bed & Breakfast,,380 687 1453,"Via del Gargano, 58",San Nicandro Garganico,,,,,,,,,,,
l'Oasi di Rosi - Affittacamere,Bed & Breakfast,http://oasidirosi.it/,339 112 1726,Contrada Purgatorio,Casalnuovo Monterotaro,,oasidirosi@gmail.com,http,WordPress,Sì,Signet B.V.,61,77,100.00,Sì,No
Le Cale' B&B,Bed & Breakfast,,329 533 0760,"Via Montenero, 3",San Severo,,,,,,,,,,,
