Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Luxury B&B Coccolhouse Jacuzzi & Pool,Bed & Breakfast,,328 650 3457,"Via Michele Bosio, 7",San Cesario di Lecce,,,,,,,,,,,
Masseria Tenuta Le Menze,Bed & Breakfast,,376 232 5105,Strada Comunale Spezzaferri,Cavallino,,,,,,,,,,,
Leopardi B&B,Bed & Breakfast,,333 913 6837,"Via Giacomo Leopardi, 30",Lequile,,,,,,,,,,,
San Cesario di Lecce,Bed & Breakfast,,347 998 5228,"Via Caduti Libertà, 6",San Cesario di Lecce,,,,,,,,,,,
Monterussi B&B,Bed & Breakfast,,392 575 5085,"Via Caprarica, 113",Cavallino,,,,,,,,,,,
B&B il menhir,Bed & Breakfast,,327 629 9214,"Via Don Antonio Cruciato, 7",Lequile,,,,,,,,,,,
B&B SALento,Bed & Breakfast,https://www.hotelsitalic.com/bb-salento,333 386 9000,"Via Puglia, 19",San Cesario di Lecce,,,https,WordPress,No,"Cloudflare, Inc.",,,,Sì,No
B&B La Dimora delle Grazie,Bed & Breakfast,https://www.ladimoradellegrazie.it,327 234 8379,"Via Duomo, 4",San Cesario di Lecce,,infoladimoradellegrazie@gmail.com,https,ASP.NET,No,Server Plan S.r.l.,,,,Sì,No
B&B La Serra - Villa De Bonis,Bed & Breakfast,http://www.soggiornarenelsalento.com,340 284 4734,ex SS 476 Km 3,San Cesario di Lecce,,,https,WordPress,No,"Automattic, Inc",,,,Sì,No
Terrae Hydrunti,Bed & Breakfast,http://www.terraehydrunti.it,328 134 9208,"Via Cota, 20",Lecce,,info@terraehydrunti.com,https,Angular,Sì,OVH SAS,,,,Sì,No
Corte delle Moline B&B,Bed & Breakfast,http://www.cortedellemoline.com,349 616 0203,"Via Vincenzo Cepolla, 50",San Cesario di Lecce,,,http,ASP.NET,No,Aruba S.p.A. Network,,,,Sì,No
Agriturismo Li Calizzi Arte & Natura,Agriturismo,http://www.agriturismolicalizzi.it,327 316 9721,Str. Vicinale Marini,Novoli,,info@agriturismolicalizzi.it,https,WordPress,No,Aruba S.p.A. Network,,,,Sì,No
Casa Salento,Bed & Breakfast,https://www.hotelsitalic.com/casa-salento,388 402 3209,"Via Gaetano Salvemini, 18",Novoli,,,https,WordPress,No,"Cloudflare, Inc.",,,,Sì,No
Villa Lalla,Bed & Breakfast,http://villalalla.it,392 522 1911,Via Lecce,Villa Convento,,,https,ASP.NET,No,OVH SAS,,,,Sì,No
Bed & Breakfast San Giorgio,Bed & Breakfast,http://www.bed-breakfast-sangiorgio.it,329 452 1782,"Via Az. Fontanelle, SP341, 119",Otranto,,info@bed-breakfast-sangiorgio.it,https,React,Sì,Serverplan S.r.l.,,,,Sì,No
Dear Mary B&B,Bed & Breakfast,,347 376 3628,"Via Cacciaventi, 10",San Cesario di Lecce,,,,,,,,,,,
B&B a Casa Mia,Bed & Breakfast,,328 424 4697,"Via Damiano Chiesa, 73",Carmiano,,,,,,,,,,,
Villa Domus Salento Suites & Rooms con parcheggio privato in loco,Bed & Breakfast,https://www.villadomussalento.it,349 583 4772,"Viale Marche, 17",Lecce,,info@villadomussalento.it,https,WordPress,No,Server Plan S.r.l.,,,,Sì,No
Casale Vecchio B&B,Bed & Breakfast,,331 809 9000,"Via Arnesano, Strada Provinciale 7, 12",Arnesano,,,,,,,,,,,
Tenuta Giardini Nuovi,Hotel,http://www.tenutagiardininuovi.it,331 839 5847,Strada Provinciale Novoli Lecce,Novoli,,info@tenutagiardininuovi.it,https,ASP.NET,No,Signet B.V,,,,Sì,No
La Focara B&B,Bed & Breakfast,http://www.bblafocara.it,340 312 4277,"Via Giotto, 1",Novoli,,info@bblafocara.it,https,WordPress,Sì,Aruba S.p.A. Network,,,,Sì,No
B&B Il Vecchio Arco,Bed & Breakfast,http://www.ilvecchioarco.it,389 195 7619,"Via Pendino, 35",Novoli,,,https,Joomla,No,Aruba S.p.A.,,,,Sì,No
Villa Tuzzo | Dimora in Salento | Lecce,Bed & Breakfast,http://www.villatuzzo.it,351 323 8619,"Via Taranto, 298",Lecce,,info@villatuzzo.it,https,React,Sì,Aruba S.p.A.,,,,Sì,No
Curte Curta Bed & Breakfast,Bed & Breakfast,http://curtecurta.it,348 412 5245,"Via S. Giuseppe, 101",Trepuzzi,,donatello.palma@gmail.com,https,WordPress,No,Aruba S.p.A. Network,,,,Sì,No
La Residenza del Sole,Bed & Breakfast,,328 616 0913,"Via P. Togliatti, 16",Surbo,,,,,,,,,,,
B&b Ètoile,Bed & Breakfast,https://www.bedetoilesalento.com,388 756 4966,"Via Giuseppe Garibaldi, 8",Arnesano,,info@bedetoilesalento.it,https,Shopify,Sì,Aruba S.p.A. Network,,,,Sì,No
B&B La Graticola • Pizzeria Trattoria Ristorante,Ristorante,,327 567 3285,"Via Sant'Angelo, 110G",Trepuzzi,,,,,,,,,,,
Tenuta degli Agrumi,Bed & Breakfast,https://www.tenutadegliagrumi.com/tenuta,331 412 1018,SP224,Carmiano,,tenutaagrumidelsalento@gmail.com,https,Shopify,No,Armada WAN,,,,Sì,No
Lanna b&b,Bed & Breakfast,,333 408 0120,"Via Tasso, 15/a",Novoli,,,,,,,,,,,
Villa Chiara B&B,Bed & Breakfast,https://villachiarabb.traveleto.com,380 188 7527,"Via de Castris, 171",Salice Salentino,,,https,React,No,"Cloudflare, Inc.",,,,Sì,No
B&B Il Negramaro,Bed & Breakfast,,329 982 9546,Via Guglielmo Pepe,Veglie,,,,,,,,,,,
Affittacamere Novoli,Bed & Breakfast,,320 603 8583,"Via di Novoli, 5",Firenze,,,,,,,,,,,
Virò B&B,Bed & Breakfast,http://www.bebviro.it/contatti.html,344 273 2261,"Viale Stazione, 32",Campi Salentina,,,http,ASP.NET,No,Aruba S.p.A. Network,,,,Sì,No
Ostello Novello,Ostello,,349 157 3289,P.za Regina Margherita,Novoli,,,,,,,,,,,
Le Dimore Di Palma,Alloggi al coperto,,333 890 7227,"Via Filippo Turati, 4-B",Novoli,,,,,,,,,,,
B&B Del Corso,Bed & Breakfast,,391 749 7733,"Corso Sicilia, 118",San Cataldo,,,,,,,,,,,
Sole e Sale B&B,Bed & Breakfast,https://www.solesalebeb.it/en,320 799 1969,"Via Cartier Giacomo, 6",Lecce,,,https,WordPress,No,"Amazon.com, Inc.",,,,Sì,No
Salento Residence & Suite,Hotel,http://www.salentoresidence.net,339 365 6860,"San Cataldo LE IT, Via Vietri, 3",Marina di Lecce,,salentoresidence@quartaturismo.com,https,WordPress,Sì,Aruba S.p.A. Network,,,,Sì,No
