Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Daunia Artigiana,Negozio di articoli da regalo,,338 909 9932,"Corso Europa, 113",Carlantino,,,,,,,,,,,
Armeria Big Hunter,Negozio di armi da fuoco,,320 692 9200,"Via Veglie, 64",Leverano,,,,,,,,,,,
Armeria Pipino,Negozio di armi da fuoco,,0882 646010,"Via Roma, 80",Apricena,,,,,,,,,,,
Coscia Anna,Tabaccheria,,0881 552030,"Via Nicola de Simone, 62",Carlantino,,,,,,,,,,,
Armeria Battiante,Negozio di articoli per la caccia,,0881 743834,"Via Alessandro Manzoni, 184",Foggia,,,,,,,,,,,
Pasquale Capozio,Macelleria,,339 371 3970,Via Guglielmo Marconi,Carlantino,,,,,,,,,,,
Gioacchino Pesce Ditta Apl,Negozio di articoli per la caccia,,0881 540013,"Piazza Gaetano Pitta, 49",Lucera,,,,,,,,,,,
Panificio Coscia Michele,Fornaio,,0881 552072,"Via Polonia, 53",Carlantino,,,,,,,,,,,
Armeria Dolce,Negozio di armi da fuoco,,328 336 5495,"Viale XXIV Maggio, 77",Foggia,,,,,,,,,,,
Panificio Coscia Giovanni,Fornaio,,0881 552067,"Via Nicola de Simone, 63",Carlantino,,,,,,,,,,,
Armeria Ardito,Negozio di armi da fuoco,,080 478 3833,"Viale di Vagno, 10",Noicattaro,,,,,,,,,,,
Bull Barrel Di Massimo Carla',Negozio di armi da fuoco,,0832 205694,"Via Camillo Benso Conte di Cavour, 3",San Cesario di Lecce,,,,,,,,,,,
"La Beccaccia, Armeria",Negozio di armi da fuoco,,0884 994969,"Via della Resistenza, 72",Vico del Gargano,,,,,,,,,,,
Panetteria Galoppo Fernando Antonio,Fornaio,,0881 552215,"Corso Europa, 2",Carlantino,,,,,,,,,,,
Xavier,Negozio di abbigliamento,,080 237 2711,"Corso Vittorio Emanuele, 20",Palo del Colle,,,,,,,,,,,
ZELDA SVAPO Negozio di Sigarette Elettroniche - Liquidi da Inalazione - Palo del Colle (BA),Negozio di sigarette elettroniche,,328 032 8898,"Viale Vittorio Veneto, 33",Palo del Colle,,,,,,,,,,,
Friendly Boutique Donna,Negozio di abbigliamento,,080 626098,"Corso Vittorio Emanuele, 86",Palo del Colle,,,,,,,,,,,
Antica Panetteria Di Saccente Donato,Fornaio,,080 624930,"Via Forges Davanzati, 8",Palo del Colle,,,,,,,,,,,
La Mascot Di Bitetto Anna Rosa,Negozio di abbigliamento,,080 991 0032,"Via Imbriani, 30",Palo del Colle,,,,,,,,,,,
Giovanniello Domenico,Negozio di elettronica,,080 626370,"Via Forges Davanzati, 22",Palo del Colle,,,,,,,,,,,
C&C Tabaccheria di Cristiano Carelli,Tabaccheria,,340 002 3185,"Via Giorgio la Pira, 93",Palo del Colle,,,,,,,,,,,
Bird' S House,Negozio di animali,,342 064 4167,"Corso Vittorio Emanuele, 83/85",Palo del Colle,,,,,,,,,,,
Sanitaria Neovita di Nanocchio Vincenzo,Negozio di abbigliamento per bambini,,080 626522,"Piazza Armando Diaz, 14",Palo del Colle,,,,,,,,,,,
Orologeria & Oreficeria Fumai dal 1924,Negozio di accessori di moda,,339 395 8544,"Piazza Della Minerva, 2",Palo del Colle,,,,,,,,,,,
Armeria Antonacci Michelangelo,Negozio di armi da fuoco,,0884 326522,"2/2A, Via M. d' Addetta",Carpino,,,,,,,,,,,
ARMERIA BISCUSO dal 1898,Negozio di armi da fuoco,http://www.biscusoarmitalia.com,380 186 4206,"Via G.Argento, 38",Lecce,,webmaster@thebluescape.net,https,ASP.NET,No,Aruba S.p.A. Network,98,100,82.00,Sì,No
Antichi Sapori Di Marucci Vittoria,Ristorante,,0881 592220,"Corso Vittorio Emanuele II', 33",Alberona,,,,,,,,,,,
Alberga Showroom,Negozio di articoli da regalo,http://www.albergashowroom.it,080 991 1165,"Via Bitetto, 3",Palo del Colle,,,http,WordPress,No,SEEWEB s.r.l.,100,100,80.00,Sì,No
Liantonio bike motors,Negozio di biciclette,,342 013 9078,"Via M. della Stella, 35/A",Palo del Colle,,,,,,,,,,,
Armeria D'Oronzo,Negozio di armi da fuoco,http://www.armeriadoronzo.com,0831 619536,"Via G. Galilei, 91",Cellino San Marco,,,https,React,No,"Cloudflare, Inc.",88,95,92.00,Sì,No
Poliambulatorio e Guardia Medica Carlantino - ASL FG - DSS 58 Lucera,Servizi medici locali,,0881 552501,"Via Polonia, 1",Carlantino,,,,,,,,,,,
Guardia Medica Alberona,Medico di pronto soccorso,,0882 200963,"Via Mancini, 1",Alberona,,,,,,,,,,,
La Baita Alberona,Pizzeria,,0881 592310,Via Calvario,Alberona,,,,,,,,,,,
I PISCIARELLI,Ristorante,,351 029 4349,"VIA PISCIARELLI, 2",Alberona,,,,,,,,,,,
La Casina,Ristorante,,348 043 3960,"Via Lucera, 76",Alberona,,,,,,,,,,,
Mary Poppins Di laura de giosa,Negozio di giocattoli,,080 625906,"Piazza Armando Diaz, 55",Palo del Colle,,,,,,,,,,,
Proshop - Tutto per il pulito,Casalinghi,,345 785 4306,"Via Giardino, 150",Biccari,,,,,,,,,,,
AgricolaVessia Tech&Service Hub,Fornitore di trattori e macchine agricole,https://www.agricolavessia.com,080 626796,"Via Forges Davanzati, 97",Palo del Colle,,info@agricolavessiatech.com,https,Shopify,No,Momit SRL,33,75,92.00,Sì,No
Sabatino azienda agricola,Negozio di alimentari,,347 023 9512,"Via Roma, 59",Biccari,,,,,,,,,,,
da Liberato,Ristorante di pesce,http://www.ristorantedaliberato.it,0881 592368,Località Fornaci,Alberona,,,http,ASP.NET,No,Aruba S.p.A. Network,100,100,90.00,Sì,No
La Villetta,Ristorante,,0881 592042,"Via Minerva, 12",Alberona,,,,,,,,,,,
Tabaccheria Di Ferringo Michele,Tabaccheria,,0881 591248,"Via Giardino, 194",Biccari,,,,,,,,,,,
Quattro Ruote,Negozio di pneumatici,,329 787 6687,"Via Giardino, 82/84",Biccari,,,,,,,,,,,
Ferramenta R.D.S. di Saracino R. Dario,Ferramenta,,347 691 5102,"Via Maria Santissima del Carmine, 5",Biccari,,,,,,,,,,,
Boutique della Carne Raffaele,Macelleria,,347 660 8909,"Via Fuori Porta Garofalo, 108/110",Biccari,,,,,,,,,,,
Onorato Vincenzo,Tabaccheria,,0881 591289,"Via Roma, 61",Biccari,,,,,,,,,,,
De Bellis Rosa,Negozio di alimentari,,0881 593346,"Via Giardino, 65",Biccari,,,,,,,,,,,
Tronix Srl,Negozio di computer,,0881 593365,"Piazza Giacomo Matteotti, 19",Biccari,,,,,,,,,,,
Minimarket Despar Di Basile Costantina,Negozio di alimentari,,0881 591012,"Via Giardino, 32",Biccari,,,,,,,,,,,
Mondotech Di Menichella Antonio,Negozio di telefoni cellulari,,0881 591354,"7, Vico Le Grazie, Biccari, FG 71032",Biccari,,,,,,,,,,,
Carni Moccia,Macelleria,,0881 593224,"Via Giardino, 46",Biccari,,,,,,,,,,,
Nikolours,Negozio di articoli per la pittura,,0885 653883,"Via Enrico Berlinguer, 30",Carapelle,,,,,,,,,,,
Stefanelli Armi Pirotecnica IV gen.,Negozio di armi da fuoco,https://stefanellipirotecnica.com,366 197 3208,"Via Zara, 3A",Taranto,,,https,WordPress,No,Hostinger International Limited,98,98,92.00,Sì,No
DI FIORE CARTOLIBRERIA,Cartoleria,,0885 328356,"Via Giuseppe Garibaldi, 23",Carapelle,,,,,,,,,,,
Supermercato Meta Di Fiore Salvatore,Alimentari,,0885 795239,"Viale del Mezzogiorno, 2",Carapelle,,,,,,,,,,,
Prodotti Surgelati Srls Luigi Samele,Produzione e commercio surgelati,,336 829 754,"Via Ordona, KM1",Carapelle,,,,,,,,,,,
I Templari di Alberona,Bed & Breakfast,http://www.itemplaridialberona.com,328 549 4720,"Via Ripa, 22",Alberona,,info@itemplaridialberona.com,http,WordPress,No,Aruba S.p.A.,59,46,77.00,Sì,No
Tabacchino La Fenice di Dimino Vincenza Cynthia,Tabaccheria,,0881 592167,"Via Stradale Lucera, 58",Alberona,,,,,,,,,,,
Armeria Suma Gianvito,Negozio di armi da fuoco,http://www.armerie.it/431864_armeria_suma_gianvito_francavilla_fontana.htm,0831 852567,"Via S. Vito, 24",Francavilla Fontana,,info@armerie.it,http,React,No,Aruba S.p.A.,97,98,92.00,Sì,No
FINI SRL,Negozio di forniture idrauliche,,0885 795495,Via degli Olmi,Carapelle,,,,,,,,,,,
Ditta RUSSO DONATO,Negozio di elettrodomestici,,349 680 2454,"Via Fuori Porta Annunziata, 103",Biccari,,,,,,,,,,,
Armeria Tutti I Venti di Armando Pisanello,Negozio di articoli per la caccia e la pesca,https://www.armeriasalento.it,333 847 1759,"Via Bissolati num. 17 angolo, Via Giuseppe Garibaldi, 1",Collepasso,,armandocollepasso@libero.it,http,WordPress,No,Aruba S.p.A.,55,76,85.00,Sì,No
Elettrodomestici Tarantino,Negozio di elettrodomestici,,329 885 2636,"Via della Repubblica, 10",Carapelle,,,,,,,,,,,
