Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Ai Burattini Di Bellini Gianmarco,Ristorante,http://www.aiburattini.it/ristorante,035 933433,"Via Madaschi, 101",Adrara San Martino,,,https,WordPress,No,SEEWEB s.r.l.,56,80,77.00,Sì,No
Casa Bianca Bar Trattoria,Ristorante,,335 542 0346,"Piazza Stazione, 1",Acquanegra Cremonese,,,,,,,,,,,
Tana del Nibbio,Ristorante,,0341 590153,"Via Escursionisti, 51",Abbadia Lariana,,,,,,,,,,,
Gusto giusto,Bar,,371 198 2157,"Via Roma, 3",Acquanegra Cremonese,,,,,,,,,,,
Cà Priula,Ristorante,http://www.capriula.it,0342 014688,"Via Brasa, 14",Albaredo per San Marco,,info@capriula.it,https,React,Sì,Aruba S.p.A,80,97,85.00,Sì,No
Pizzeria d'Asporto Carpe Diem,Pizza da asporto,,0373 976576,"Via Dante Alighieri, 12",Agnadello,,,,,,,,,,,
Rifugio Carlo Porta,Rifugio di montagna,http://rifugioporta.com,375 772 7440,"Via Carlo Porta, 4",Pian dei Resinelli,,,https,Drupal,No,Infrastructure Italia Colo S.P.A,86,96,92.00,Sì,No
Ristorante Il Vicolo,Ristorante italiano,http://www.ristoranteilvicolo.it,0341 700603,"Via San Rocco, 8",Abbadia Lariana,,,https,Joomla,No,Host SpA,81,92,83.00,Sì,No
Trattoria e Pizzeria i BODEGA,Ristorante,,338 583 6480,"Via Nazionale, 181",Abbadia Lariana,,,,,,,,,,,
Rifugio SEL Rocca Locatelli,Ristorante,,0341 590286,"Piazzale delle Miniere, 1",Abbadia Lariana,,,,,,,,,,,
Bar Trattoria Quadrante,Bar,,0372 729759,"Via Roma, 19",Acquanegra Cremonese,,,,,,,,,,,
Ristorante San Martino,Ristorante,http://www.sanmartinoristorante.it,035 934040,"VIa Squadra Alta, 6",Adrara San Martino,,info@sanmartinoristorante.it,http,ASP.NET,No,Microsoft Corporation,56,50,82.00,Sì,No
La Pizzeria-Trattoria Rosalba,Pizzeria,http://www.pizzeriarosalba.com,0341 731449,"Via Tommaso Grossi, 6",Mandello del Lario,,info@pizzeriarosalba.com,https,ASP.NET,No,Aruba S.p.A. Network,94,100,82.00,Sì,No
Trafikbar di Eddy e Magdalena,Bar caffè,,0341 733058,"Via Nazionale, 33",Abbadia Lariana,,,,,,,,,,,
Da Piero Ristorante,Ristorante di pesce,http://www.dapieroristorante.it,0341 731542,"Piazza della Costituzione Repubblicana, 1",Abbadia Lariana,,info@dapieroristorante.it,https,Joomla,No,Hetzner Online GmbH,56,84,85.00,Sì,No
Ristorante Babà du Lac,Ristorante italiano,https://babadulac.com,0341 730966,"Via Nazionale, 140",Abbadia Lariana,,info@babadulac.com,https,Shopify,Sì,OVH SAS,57,60,85.00,Sì,No
