Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Noleggio Barche e Gommoni Cecina MARINAS FULL SERVICES,Noleggio barche,,346 288 9910,Via Volterra • Porto di Cecina,Cecina,,,,,,,,,,,
Noleggio Barca a vela in Toscana - One off yachts,Noleggio barche,https://www.casuarinacrow.it,345 695 7540,"Marina Cala De' Medici, Via Agostino Straulino, 1",Rosignano Solvay,,casuarinacrow@gmail.com,https,WordPress,Sì,Aruba S.p.A. Network,75,98,100.00,Sì,No
Noleggio Di là dal ponte,Noleggio barche,https://diladalponte.com,366 908 9023,"Fiume Bruna sponda di ponente, Via di Ponente",Castiglione della Pescaia,,noleggio@diladalponte.com,https,WordPress,No,OVH ISP,76,97,92.00,Sì,No
SailorTex Noleggio Imbarcazioni a vela,Noleggio barche,http://www.sailortex.it,347 558 8343,"Via Agostino Straulino, 1",Rosignano Marittimo,,info@sailortex.it,https,WordPress,No,Aruba S.p.A,64,90,85.00,Sì,No
Centro Nautico Italiano,Noleggio barche,,055 553 0126,"Via Fra' Bartolomeo, 39",Firenze,,,,,,,,,,,
Outcage Sailing Yacht,Noleggio barche,http://www.outcageviaggi.com,06 5654 9685,"Piazza Vittorio Veneto, 4",Firenze,,info@outcageviaggi.com,https,WordPress,Sì,Google LLC,61,86,92.00,Sì,No
Toscanavela di DeMartino Vincenzo,Noleggio barche,,334 744 7669,"San Cristoforo mandri, 35",Reggello,,,,,,,,,,,
Sole & Mare - Yacht Charter Broker,Noleggio barche,http://www.soleemarecharter.com,347 574 3018,"Viale Montegrappa, 65",Prato,,info@soleemare.eu,https,React,No,Aruba S.p.A. Network,61,50,85.00,Sì,No
"Noleggio gommoni Baratti, Rent Boat Baratti",Noleggio barche,http://www.ilportodibaratti.it,329 131 7610,Località Baratti,Piombino,,ormeggiobaratti@gmail.com,https,WordPress,Sì,Google LLC,60,84,100.00,Sì,No
Rigel Vela Charter di Grossi Nadia,Noleggio barche,http://www.rigelvela.it,335 750 5406,"Via M. Moschi, 15",Lastra a Signa,,info@rigelvela.it,https,Angular,No,Aruba S.p.A. Network,43,42,100.00,Sì,No
Royal Rent Boat Versilia,Noleggio barche,https://www.royalrentboatversilia.com,328 066 9784,"Viale IV Novembre, 24",Montignoso,,,https,WordPress,No,Aruba S.p.A.,62,77,85.00,Sì,No
"Sulle Vie Degli Etruschi - Rent Boat, Noleggio Barche e Gommoni a Baratti",Noleggio barche,https://sulleviedeglietruschi.it,335 708 7858,"Località Baratti, 41",Piombino,,info@sulleviedeglietruschi.it,https,WordPress,Sì,Google LLC,56,71,92.00,Sì,No
SetteMari Boat Rental - Noleggio Barche,Noleggio barche,http://settemari.info,349 623 5238,Via Orsa Maggiore,Castiglione della Pescaia,,settemariboating@gmail.com,https,React,Sì,wix com inc,67,92,100.00,Sì,No
Noleggio Barche Tarolli a Molina,Noleggio barche,,348 565 3593,"Via al Lago, 8 vicino al Museo delle Palafitte 38067",Molina di Ledro,,,,,,,,,,,
Charter Mediterraneo Yacht,Noleggio barche,,371 424 5101,"Via Castruccio Buonamici, 225",Lucca,,,,,,,,,,,
Tour del golfo Rio 1300 Yacht,Noleggio barche,,335 681 5358,"Via Falaschi, 7/a",Ameglia,,,,,,,,,,,
T & T Group - Noleggio Barche a Milazzo,Noleggio barche,http://www.noleggiobarchemilazzo.it,351 607 4228,"LUNGOMARE GARIBALDI, C.DA VACCARELLA, 1",Milazzo,,info@noleggiobarchemilazzo.it,https,React,Sì,Google LLC,69,89,100.00,Sì,No
B.s.travel Italia Di Innocenti Giovanni - Noleggio con equipaggio Caraibi e Mediterraneo,Noleggio barche,http://www.bsyachting.it,335 424 610,"Via Brunetto Latini, 6971",Firenze,,,http,ASP.NET,No,Aruba S.p.A. Network,100,100,73.00,Sì,No
