Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Comune di Acquafondata,Municipio,,0776 584432,"Piazza dei Caduti, 5",Acquafondata,,,,,,,,,,,
Comune Di Affile,Municipio,,0774 804400,"Via Luigi Naddeo, 1",Affile,,,,,,,,,,,
The Big Night,Birreria,,349 613 4418,"Via Marmorale, 27",Antrodoco,,,,,,,,,,,
La bottega di Ianus,Alimentari,,335 615 1823,"Corso Roma, 34",Antrodoco,,,,,,,,,,,
De Silvestri Maurizio e Domenico S.N.C.,Negozio di scarpe,,0746 586690,"Via Vespasiano, 10",Antrodoco,,,,,,,,,,,
Corso Roma 7,Negozio di abbigliamento,,0746 586373,"Corso Roma, 7",Antrodoco,,,,,,,,,,,
Ferramenta Tedeschini,Ferramenta,,349 445 1286,"Corso Roma, 2",Antrodoco,,,,,,,,,,,
Fruttital Srl - magazzino di Roma,Magazzino all'ingrosso,http://www.fratelliorsero.it/,06 413 0991,"Via Affile, 120",Roma,,,https,Angular,No,"Amazon.com, Inc.",56,74,92.00,Sì,No
Amatrice in tavola,Negozio di prodotti alimentari italiani,https://shop.amatriceintavola.it/,0746 826191,Via Padre G. Minozzi snc Centro Commerciale Il Corso,Amatrice,,info@amatriceintavola.it,https,Shopify,No,"Cloudflare, Inc.",70,98,92.00,Sì,No
Edilmarket srl,Ferramenta,,0746 586261,"Via Marmorale, 44/a",Antrodoco,,,,,,,,,,,
C.O.C. Accumoli,Ufficio dell'amministrazione comunale,,0746 80429,"SS 4 Via Salaria, 142",Accumoli,,,,,,,,,,,
G.P.A Materiali da Costruzioni Srl,Ferramenta,,0746 80752,"Via Salaria Vecchia, Km 157",Accumoli,,,,,,,,,,,
Gruppo Alma | Edilizia - Noleggi Roma e Provincia,Agenzia di noleggio gru,http://gruppo-alma.com/,0774 551073,"Via Cona, 2",Affile,,info@gruppo-alma.com,http,Magento,Sì,Aruba S.p.A. Network,49,77,85.00,Sì,No
