Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
La Casa di Nonna Lina,Bed & Breakfast,,335 825 4553,"Via Irpinia, 3/A",Ordona,,,,,,,,,,,
Agriturismo Masseria Mascitelli,Agriturismo,,328 325 7034,S.P. 110 km 29+100,Orta Nova,,,,,,,,,,,
B&B Piano Romano -con parcheggio privato gratuito-,Bed & Breakfast,https://www.hotelsandiamo.com/bb-piano-romano-con-parcheggio-privato-gratuito,347 577 9593,"Via Monte Grappa, 42",Foggia,,,https,Shopify,No,"Cloudflare, Inc.",100,100,92.00,Sì,No
Casa Acito,Bed & Breakfast,,327 258 2701,Contrada cenerata snc,Stornara,,,,,,,,,,,
B&B Federico II,Bed & Breakfast,,346 825 5931,Corso Generale Torelli,Apricena,,,,,,,,,,,
Le Cale' B&B,Bed & Breakfast,,329 533 0760,"Via Montenero, 3",San Severo,,,,,,,,,,,
Bed & Breakfast Corso Roma,Bed & Breakfast,http://bnbcorsoroma.it,349 640 3977,"Piazzale Andrea Costa, 2",Apricena,,,https,React,No,"Amazon.com, Inc.",68,98,100.00,Sì,No
Residenza Del Sele,Bed & Breakfast,http://www.bebfoggia.it,331 437 3464,"Corso Pietro Giannone, 1 a",Foggia,,,https,Shopify,No,Aruba S.p.A,69,92,92.00,Sì,No
B&B Mattei Domus,Bed & Breakfast,,333 561 9330,"Viale Sicilia, n.27/29",Lesina,,,,,,,,,,,
B&B Da Nicola,Bed & Breakfast,,331 288 3795,"Via Giovanni Pascoli, 9",Poggio Imperiale,,,,,,,,,,,
B&B RISTOBAR CRISTAL AGE (Siria b&b),Bed & Breakfast,https://bb-ristobar-cristal-age.albergo.top,376 095 3641,"S.S. 89 KM 3, Via Apricena, 480",San Severo,,,https,React,No,Contabo GmbH,54,87,92.00,Sì,No
Grotta degli Ulivi,Ristorante,http://www.grottadegliulivi.it,0882 645834,Contrada Dell'Incoronata,Apricena,,,https,React,No,Serverplan s.r.l.,64,89,100.00,Sì,No
Bed & Breakfast Porta del Gargano,Bed & Breakfast,http://www.bebportadelgargano.it,348 870 8898,"C.da Iancuglia SS 272 Km 12,50",San Marco in Lamis,,giovannimaddamma@gmail.com,https,WordPress,No,Aruba S.p.A.,75,98,75.00,Sì,No
Incanto b&b,Bed & Breakfast,,340 532 1783,"Via Colonnella, 64",Lesina,,,,,,,,,,,
B&B Un Punto in Più,Bed & Breakfast,,338 244 4253,"Via Roma, 8",San Paolo di Civitate,,,,,,,,,,,
B&B A.J.,Bed & Breakfast,http://ajbedandbreakfast.com,345 958 3358,"Corso Umberto I° di Savoia, 46",Lesina,,info@ajbedandbreakfast.com,https,Joomla,No,Aruba S.p.A.,56,56,100.00,Sì,No
BED & BREAKFAST PALAZZO DEL CONTESTABILE - TROIA - FOGGIA - PUGLIA,Bed & Breakfast,,328 087 0129,"Corso Umberto I, 137",Troia,,,,,,,,,,,
Beb A CASA D NENÉ,Bed & Breakfast,,345 455 9874,"Via Cesare Battisti, 117",Lesina,,,,,,,,,,,
Bed Breakfast Al Castello,Bed & Breakfast,http://www.bbcastello.it,0882 382373,"via Mons.Giuseppe, Via Monsignor G. Lariccia, 115",Torremaggiore,,info@bbcastello.it,https,WordPress,No,Internap Holding LLC,89,69,92.00,Sì,No
B&B A due passi,Bed & Breakfast,https://aduepassibebtroia.wordpress.com,347 782 8162,"Corso G. Matteotti, 99",Troia,,aduepassibebtroia@gmail.com,https,WordPress,No,"Automattic, Inc",75,91,100.00,Sì,No
B&B Al Belvedere,Bed & Breakfast,https://www.bbalbelvedere.it,389 655 5570,"Via Giuseppe Verdi, 54",Volturino,,,https,React,No,Seeweb srl,56,73,77.00,Sì,No
Agriturismo Casale Cerere,Agriturismo,https://www.casalecerere.it,329 923 5292,"Contrada Serritelli, 61",Lacedonia,,info@casalecerere.it,https,Shopify,No,Aruba S.p.A.,59,91,92.00,Sì,No
I Templari di Alberona,Bed & Breakfast,http://www.itemplaridialberona.com,328 549 4720,"Via Ripa, 22",Alberona,,info@itemplaridialberona.com,http,WordPress,No,Aruba S.p.A.,54,44,77.00,Sì,No
BORA B&B,Bed & Breakfast,http://www.bora-troia.it,340 218 4527,"Via Sant'Antonio, 72",Troia,,info@bora-troia.it,http,React,No,Aruba S.p.A. Network,64,90,91.00,Sì,No
B&B Colli Ameni,Bed & Breakfast,,339 412 3131,Strada Provinciale Ferrovia,Candela,,,,,,,,,,,
La Piazzetta,Hotel,,328 919 6168,"Piazza Giacomo Matteotti, 34",Candela,,,,,,,,,,,
