Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Palestra Active Planet,Sala fitness,,328 013 9902,"Via G. Migliaccio, 42",Galatone,,,,,,,,,,,
De Giorgi Sport and Health,Sala fitness,,327 658 9111,"Via Michelangelo, 7",Lequile,,,,,,,,,,,
EnerGym Galatone,Palestra,,339 869 8914,"Via Don Mimino Colazzo, 6",Galatone,,,,,,,,,,,
PALESTRA TORVEN,Sala fitness,,0832 521385,Via Antonio Gramsci,Monteroni di Lecce,,,,,,,,,,,
BE FIT del Dott. Francesco Gioffreda/Palestra Galatone/Calisthenics-SalaPesi-FunctionalTraining,Sala fitness,,329 895 5519,Via Cairoli,Galatone,,,,,,,,,,,
ASD TAEKWONDO CIVINO,Palestra,,329 060 8693,"Via Po, 68",Monteroni di Lecce,,,,,,,,,,,
A.S.D. SAVANE CENTRO SPORTIVO,Sala fitness,,329 850 5829,"Largo Stazione, 37",Squinzano,,,,,,,,,,,
Siam Gym Muay Thai Lecce,Palestra,,329 733 0496,Piazza Vittoria,Squinzano,,,,,,,,,,,
Body Center,Palestra,,393 838 3080,SS 16,Squinzano,,,,,,,,,,,
Palestra Palladium,Palestra,,351 352 3991,"Via Squinzano, 18",Campi Salentina,,,,,,,,,,,
Centro Chinesiologia NEW PLAY sport & fitness,Palestra,,347 350 6962,"Via Taranto, 66",Ugento,,,,,,,,,,,
The Massive Gym,Palestra,,346 136 3882,"Via Amalfi, 12",Ugento,,,,,,,,,,,
Energym,Sala fitness,,333 705 9935,Via Sassari,Ugento,,,,,,,,,,,
Palestra Pump,Sala fitness,,0836 312644,Via Antonio Montefusco,Maglie,,,,,,,,,,,
Training Lab - Ludovica d'Alessio,Personal trainer,,327 706 3863,"SP350, 16",Ugento,,,,,,,,,,,
calisthenicsalento a.s.d.,Palestra,,329 288 0597,"Via Cavalieri G., 44",Maglie,,,,,,,,,,,
Extragym Marathon,Palestra,,379 278 4296,"Via SS. Crocefisso, 9",Taurisano,,,,,,,,,,,
asd salentinatletica,Palestra,http://www.salentinatletica.it/,393 060 5960,"Via Cosimo Settimo, 1",Galatone,,anonimo1473@gmail.com,https,React,No,Amazon Technologies Inc.,63,92,92.00,Sì,No
Lux Fitness Studio Italia166,Palestra,,+351 968 909 031,"Via E. de Filippo, 8",Monteroni di Lecce,,,,,,,,,,,
ASD ATHENA BODY ACTION MAGLIE,Sala fitness,,0836 426413,"Via Don Beniamino Rainò, 27",Maglie,,,,,,,,,,,
Auxesia Village ssd a rl,Palestra,http://www.auxesiavillage.it/,0836 423505,"Via Gallipoli, 66",Maglie,,,http,ASP.NET,No,Aruba S.p.A. Network,99,99,82.00,Sì,No
Doria Gym,Palestra,,320 053 4589,Parco Ricchiello,Taviano,,,,,,,,,,,
Zenit Centro Fitness,Palestra,,328 948 2391,"LE, Via Vecchia Ovest, 21",Taviano,,,,,,,,,,,
Camion Centro Fitness,Palestra,,377 544 9663,"Via Vittime di Via Fani, 6A",Taviano,,,,,,,,,,,
Gym Studio,Palestra,,347 831 3983,Via del Mercato Floricolo,Taviano,,,,,,,,,,,
Athena - Cross Functional Training,Sala fitness,,347 900 6187,"Via degli Artigiani, 23",Taviano,,,,,,,,,,,
artèdanza,Palestra,,392 222 5513,Via Saverio Caputi,Galatone,,,,,,,,,,,
Palestra Performance,Sala fitness,http://alezio.wix.com/palestraperformance,348 005 0501,"Via Taviano, 18",Alezio,,,,Wix,Non trovato,Google LLC,79,98,36.00,No - Pagina Non Trovata (404),No
Asd Combat Club,Palestra per il pugilato Muay Thai,http://quickly-eco.it/,320 058 3387,"Via Fratelli Piccinno, 128/C",Maglie,,info@quickly-eco.it,https,WordPress,Sì,Aruba S.p.A,61,75,85.00,Sì,No
Body Evolution 2.0,Sala fitness,https://bodyevo.it/,331 337 0406,"Via Macallè, 9",Galatone,,,https,WordPress,No,METANET AG,54,87,92.00,Sì,No
Evolution sport e fitness,Palestra,,327 284 5453,Via Roberto Caracciolo,Veglie,,,,,,,,,,,
Palestra ONE,Palestra,,328 270 4878,"Via Aleardo Aleardi, 46",Veglie,,,,,,,,,,,
NEW TAEKWONDO ONE PANZANARO,Palestra,,339 708 9657,"Via Monteruga, 66",Veglie,,,,,,,,,,,
Spazio Sport 360,Sala fitness,,328 573 4355,"Via Filippo Turati, 8",Melendugno,,,,,,,,,,,
Asd Be Fit,Palestra,,0833 162 3979,"Viale Rimembranze, 160",Taurisano,,,,,,,,,,,
Silverback Élite ASD,Palestra,,379 142 7439,"Via Nicola Romeo, 9",Melendugno,,,,,,,,,,,
ASD Team Preite Fight Lab,Sala fitness,https://teampreite.it/,320 793 6236,"Via Raffaello, 12",Taurisano,,,https,WordPress,No,OVH ISP,39,79,100.00,Sì,No
New Fitmania Melendugno,Sala fitness,,328 166 1567,"Via Borgagne, 7",Melendugno,,,,,,,,,,,
BEAUTY FIT SALES a.s.d.,Sala fitness,,389 965 7267,Strada Provinciale 362,San Cesario di Lecce,,,,,,,,,,,
Evo Real Fitness,Palestra,,392 405 9856,"Via IV Novembre, 41",San Cesario di Lecce,,,,,,,,,,,
EXCITE PURE Monteroni,Sala fitness,http://www.excitepalestre.com/,0832 664993,"Via Carnaro, 29",Monteroni di Lecce,,,https,Shopify,No,Google LLC,65,84,100.00,Sì,No
A.S.D. Egizia Club Leverano,Palestra,,388 653 2361,"Via R. Sanzio, 144",Leverano,,,,,,,,,,,
Body Line Pierri SSD a r.l Leverano,Palestra,,327 078 1848,"Via Ofanto, 115",Leverano,,,,,,,,,,,
Centro Fitness S.S.D.,Sala fitness,,320 673 7963,"Via Giosuè Carducci, 64",Carmiano,,,,,,,,,,,
