Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Bluebay Group srl,Noleggio barche,,0182 591463,"Via Aurelia, 41",Andora,,,,,,,,,,,
Affitta Barche ad Andora,Noleggio barche,https://affittabarche.it,353 469 0411,"Via Aurelia, 41",Andora,,,https,React,No,Keliweb S.R.L,66,84,100.00,Sì,No
LANDS Rent,Noleggio barche,https://www.landsrent.com,324 789 0515,via aurelia 41 Porto Di Andora,Marina di Andora,,info@landsrent.com,https,WordPress,No,Google LLC,74,87,92.00,Sì,No
CHEZ LOLO,Noleggio barche,,351 678 6969,Mollo di,Laigueglia,,,,,,,,,,,
Riviera Luxury Boats,Noleggio barche,https://www.rivieraluxuryboats.it,350 597 2220,"Via A. Fontana, 21",Marina di Andora,,info@rivieraluxury.it,https,Wix,No,Google LLC,71,96,92.00,Sì,No
Altea Boat,Noleggio barche,,370 300 5912,Lungomare Nazario Sauro,Loano,,,,,,,,,,,
noleggio barche senza patente affitto Gommoni,Noleggio barche,,335 661 1106,"Lungomare Madonna del Loreto, 2/4",Loano,,,,,,,,,,,
Affitta Barche - Alassio,Noleggio barche,https://www.affittabarche.it,353 469 0407,"Porto Ferrari Luca, 4",Alassio,,,https,Shopify,No,Keliweb S.R.L,67,80,100.00,Sì,No
Noleggio Barche GreeNet,Noleggio barche,http://www.greenet.city,389 524 5826,"lato mare, Via Scarincio, 54",Imperia,,info@greenet.city,https,WordPress,Sì,Aruba S.p.A.,49,55,92.00,Sì,No
Affitta Barche Celle Ligure,Noleggio barche,http://www.affittabarche.it,353 469 0398,"Via Aurelia di Ponente, 1",Celle Ligure,,,https,Shopify,No,Keliweb S.R.L,66,84,100.00,Sì,No
NOLEGGIOGOMMONI,Noleggio barche,http://www.noleggiogommoni.net,331 211 8760,SS 1,Savona,,noleggiogommonicelle@gmail.com,https,Basekit,No,Aruba S.p.A.,55,72,100.00,Sì,No
Aurora Rent Boat,Noleggio barche,https://www.noleggiobarcheaurora.it,327 603 4490,Via del Leudo,Varazze,,,https,WordPress,Sì,Google LLC,60,89,100.00,Sì,No
Le Vele Matte,Noleggio barche,http://www.levelematte.it,345 703 1014,Via dei Tornitori,Varazze,,info@levelematte.it,https,WordPress,No,Hetzner Online GmbH,55,56,54.00,Sì,No
Gente di Mare S.r.l.,Noleggio barche,https://www.gdmyachting.com/it/gente-di-mare,329 904 5879,"Via del Castillo, 17",Sanremo,,,https,React,No,OVH SAS,56,83,75.00,Sì,No
Gli Amici del Mare a.s.d.,Noleggio barche,,335 701 1682,Via del Castillo,Sanremo,,,,,,,,,,,
odysea - Noleggio yacht a Sanremo - Yacht charter sanremo,Noleggio barche,https://odysea.it,339 631 2131,"Corso Nazario Sauro, 30",Sanremo,,info@odysea.it,https,React,Sì,Aruba S.p.A.,50,89,92.00,Sì,No
Nautica Noleggio Barche La Vela Online Imperia,Noleggio barche,http://www.lavelaonline.com,368 328 3253,"Via Gianni Cozzi, 1",Santo Stefano al Mare,,agenzia@lavelaonline.it,https,React,Sì,Google LLC,66,95,100.00,Sì,No
Affitta Barche - Ventimiglia,Noleggio barche,http://www.affittabarche.it,371 541 6419,Calaforte,Ventimiglia,,,https,Shopify,No,Keliweb S.R.L,66,76,100.00,Sì,No
Your Sailing Way,Noleggio barche,https://www.yoursailingway.com,349 618 9626,"Via Poggio Scafa, 14",Ameglia,,carolina@yoursailingway.com,https,Drupal,No,Aruba S.p.A.,56,88,85.00,Sì,No
Affitta Barche ad Arenzano,Noleggio barche,https://affittabarche.it,351 715 5486,"Lungomare Stati Uniti, 38",Arenzano,,,https,WordPress,No,Keliweb S.R.L,65,85,100.00,Sì,No
Riviera Luxury Rent,Noleggio barche,http://www.rivieraluxuryrent.it,392 660 1452,"Lungomare Nazario Sauro, 12/1",Loano,,,https,ASP.NET,No,SEEWEB s.r.l.,55,71,92.00,Sì,No
VENTI BOAT CHARTER - PORTOFINO,Noleggio barche,https://www.venticharter.com,351 737 7205,"Gazebo Clubbing Portofino, Molo Duca degli Abruzzi",Rapallo,,hello@venticharter.com,https,WordPress,Sì,HOSTINGER FR,82,98,100.00,Sì,No
Orange Wave - Boat Tour & Rental Rapallo,Noleggio barche,http://www.orangewavesea.com,347 879 7912,Via Antonio Gramsci,Rapallo,,orangewave23@gmail.com,http,Joomla,No,"Fastly, Inc.",37,49,100.00,Sì,No
Noleggio barche a vela Laser Il Timone Charter,Noleggio barche,https://www.iltimonecharterportofino.com/laser-1,340 172 3288,Via Langano,Rapallo,,iltimonecharter@gmail.com,https,Wix,No,Google LLC,69,94,100.00,Sì,No
Medboat Sharing Loano,Noleggio barche,https://www.medboatsharing.com,328 095 8960,Molo Francheville,Loano,,info@medboatsharing.com,https,React,No,Serverplan s.r.l.,55,71,100.00,Sì,No
Noleggio Gommoni Genova,Noleggio barche,https://www.noleggiogommonigenova.it,347 236 4207,Waterfront Marina,Genova,,info@divachartergenova.it,https,Mobirise,Sì,Server Plan S.r.l.,50,82,83.00,Sì,No
ITALYBOAT,Noleggio barche,,331 681 9146,Via Porto Turistico Porto di Lavagna - Molo O - posto 55,Lavagna,,,,,,,,,,,
