Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Ufficio Postale Poste Italiane,Ufficio postale,,0832 871211,"Via Atene, 35/37",Calimera,,,,,,,,,,,
Negozio Partner Comune Di Calimera,Azienda fornitrice di energia elettrica,,800 900 800,"Piazza del Sole, 11",Calimera,,,,,,,,,,,
Poste Italiane,Ufficio postale,,0833 553670,Piazza dell'Orologio,Alliste,,,,,,,,,,,
Asl Centro Salute Mentale - Calimera,Dipartimento della sanità pubblica,,0832 873086,Via Colaci,Calimera,,,,,,,,,,,
AM ROSSETTI SRLS,Ufficio aziendale,,348 071 3701,"Via Vincenzo Ciardo, 5",Calimera,,,,,,,,,,,
FMSHOP,Ufficio aziendale,,328 733 2785,"Via Trieste, 4",Alliste,,,,,,,,,,,
L'Immobiliare srl,Ufficio aziendale,http://www.immobiliarecalimera.it/,0832 872175,"Via Mayro, 12",Calimera,,info@immobiliarecalimera.it,http,React,No,Aruba S.p.A. Network,68,97,91.00,Sì,No
Posta Centrale,Ufficio postale,https://www.postacentrale.com/,333 262 6191,"Via Roma, 177",Calimera,,,https,React,No,Google LLC,76,93,92.00,Sì,No
Chiara Energy S.r.l.s.,Ufficio postale,,375 655 5485,"Via Racale, 1",Alliste,,,,,,,,,,,
Municipio Comune di Carosino,Municipio,,099 591 9162,"Via Roma, 73",Carosino,,,,,,,,,,,
IQOS PREMIUM PARTNER CALIMERA - Tabaccheria Cubano,Tabaccheria,,0832 873805,"Piazza del Sole, 5",Calimera,,,,,,,,,,,
RSA per disabili Casa di Alberto,Organizzazione di servizi e supporto per i disabili,http://www.albertotuma.it/,0833 985269,Viale Salento,Alliste,,,https,WordPress,No,Aruba S.p.A.,61,85,92.00,Sì,No
Studio Di Consulenza Automobilistica Antonucci,Ufficio patenti,,099 592 3471,"Via Cavour, 37",Carosino,,,,,,,,,,,
Comune Di Carosino Polizia Locale,Municipio,,099 592 1032,"Via Tenente Occhinegro, 1",Carosino,,,,,,,,,,,
Comune di Alliste,Municipio,https://www.comunedialliste.le.it/,0833 902711,"Piazza Municipio, 5",Alliste,,protocollo.comune.alliste@pec.rupar.puglia.it,https,Joomla,Sì,Aruba S.p.A.,55,74,83.00,Sì,No
Polizia Municipale Di Alliste,Vigile urbano,http://www.poliziamunicipale.it/alliste.le,0833 584337,"Via XXIV Maggio, 4",Alliste,,,https,Angular,No,Microsoft Corporation,75,97,83.00,Sì,No
Poste Italiane - Ufficio Postale Di S. Maria Al Bagno,Ufficio postale,,0833 573457,Via Giuseppe Mazzini,Avetrana,,,,,,,,,,,
Municipio,Municipio,,099 970 3274,"Via Vittorio Emanuele, 5",Avetrana,,,,,,,,,,,
Comune di Avetrana,Associazione / Organizzazione,,099 970 7766,"Via Vittorio Emanuele, 19",Avetrana,,,,,,,,,,,
Agenzia Tre Colli Avetrana,Ufficio patenti,,099 221 2507,"Via Giuseppe Mazzini, 36",Avetrana,,,,,,,,,,,
Comando Polizia Locale,Ufficio aziendale,,0832 870210,"Via Salvo D'Acquisto, 5",Calimera,,,,,,,,,,,
Guardia Medica Avetrana - Servizio di continuità assistenziale,Centro medico pubblico,,099 970 4062,"Via Piave, 101",Avetrana,,,,,,,,,,,
Nigro Daniele,Cartoleria,,099 970 4819,"Via A. De Gasperi, 61",Avetrana,,,,,,,,,,,
UNIONE DI COMUNI DELLA GRECìA SALENTINA,Municipio,https://www.unionegreciasalentina.le.it/,0832 870 2016,"Piazza del Sole, 11",Calimera,,,https,Joomla,Sì,CLIO,50,55,77.00,Sì,No
Passion Fruit Lab,Ufficio aziendale,,0836 551403,"Via Scalfo, 73",Aradeo,,,,,,,,,,,
Delegazione ACI - Aradeo Di Longo Nicola,Ufficio patenti,,0836 552222,"Via Palmiro Togliatti, n. 26",Aradeo,,,,,,,,,,,
Comune di Aradeo,Municipio,,0836 552583,"Via Aldo Moro, 2",Aradeo,,,,,,,,,,,
Scuola&Ufficio,Cartoleria,,339 405 7006,"Via Palmiro Togliatti, 27",Aradeo,,,,,,,,,,,
Tutelasì,Ufficio aziendale,,371 197 2035,"Via Mahatma Gandhi, 7",Aradeo,,,,,,,,,,,
agenzia GM 1310 Sportello Telematico,Ufficio patenti,,328 317 3019,"Via Martiri della Libertà, 35/39",Aradeo,,,,,,,,,,,
Apollonio Fernando Tutto Per L'Ufficio,Negozio di mobili per ufficio,,0836 551008,"Viale Nicola Frigino, 78",Aradeo,,,,,,,,,,,
WERO srl,Ufficio aziendale,,0836 210977,"Via A. Einstein, 20",Aradeo,,,,,,,,,,,
Pool & Garden di Nicola D'Alessandro,Ufficio aziendale,,380 347 2345,"Via Karl Marx, 7",Aradeo,,,,,,,,,,,
Technoacque S.R.L.,Azienda per la fornitura di acqua,,0836 550063,"Via Pozzi Dolci, 73",Aradeo,,,,,,,,,,,
Comune di Campi Salentina,Municipio,,0832 720611,"Piazza Libertà, 27",Campi Salentina,,,,,,,,,,,
Poliambulatorio CAMPI SALENTINA,Servizi medici locali,,0832 790111,Via Sandonaci,Campi Salentina,,,,,,,,,,,
DETTAGLI PER UFFICIO,Cartoleria,,328 233 5090,"Via Taranto, 81",Campi Salentina,,,,,,,,,,,
Comune Di Campi Salentina,Municipio,,0832 794475,"via Giovanni XXIII, 13",Campi Salentina,,,,,,,,,,,
AGENZIA SOLUZIONI PRATICHE,Ufficio patenti,,0832 872040,"Via Giuseppe Verdi, 9",Calimera,,,,,,,,,,,
INPS Campi Salentina,Ufficio della previdenza sociale,,803 164,"Via Pacinotti, snc",Campi Salentina,,,,,,,,,,,
Associazione La Meta Facile,Ufficio aziendale,http://lametafacile.it/,329 843 0790,"Via S. Francesco, n°3",Avetrana,,,http,Joomla,No,Aruba S.p.A.,56,61,83.00,Sì,No
Genpro,Ufficio aziendale,,391 467 5661,"Via Pola, 13",Avetrana,,,,,,,,,,,
Trevisi Michele,Ufficio patenti,,0832 796957,"7 Piazza Mercato, Campi Salentina, Le 73012",Campi Salentina,,,,,,,,,,,
Istituto Comprensivo Campi Salentina,Scuola di educazione generale,,0832 791133,"via Giovanni XXIII, 13",Campi Salentina,,,,,,,,,,,
Municipio - Protezione Civile,Municipio,,0832 822311,"Largo San Marco, 3",Caprarica di Lecce,,,,,,,,,,,
Vito De Santis Srl - Canon,Cartoleria,http://www.canonlecce.it/,0832 872323,"Via Amerigo Vespucci, 13",Calimera,,info@vitodesantis.it,,WordPress,No,Aruba S.p.A. Network,56,79,61.00,Sì,No
CIA Agricoltori Italiani | Avetrana,Associazione agricola,http://www.cia-puglia.it/,099 970 4323,"Via Roma, 136",Avetrana,,puglia@cia.it,https,Shopify,No,Aruba S.p.A,47,47,85.00,Sì,No
Melle Daniela,Ufficio patenti,,099 970 7635,"Via Piave, 1",Avetrana,,,,,,,,,,,
Spazio Enel Partner Campi Salentina,Azienda fornitrice di energia elettrica,,0832 181 4328,"Via Kennedy, 2",Campi Salentina,,,,,,,,,,,
PARCO AVVENTURA SALENTO ADVENTURES,Parco divertimenti per bambini,,349 740 2364,Via Cisterna Vecchia,Caprarica di Lecce,,,,,,,,,,,
Europoltrone,Negozio di mobili per ufficio,https://www.europoltrone.it/,0833 551449,"Via Dante Alighieri, 9",Alliste,,europoltrone@gmail.com,,Magento,Sì,Aruba S.p.A.,45,78,92.00,Sì,No
Un Villaggio per Crescere a Caprarica di Lecce,Centro servizi per le famiglie,,351 581 7631,"Via Risorgimento, 2",Caprarica di Lecce,,,,,,,,,,,
Comune Di Alessano,Municipio,,0833 524110,"Via Tagliamento, 1",Alessano,,,,,,,,,,,
Comune di Alessano,Ufficio dell'amministrazione comunale,,0833 524437,"Via Francesco Storella, 15",Alessano,,,,,,,,,,,
UFFICIO 2000 SAS di Coppola Roberto & C,Negozio di forniture per la scuola,,0833 781085,"Via Scipione Sangiovanni, 28",Alessano,,,,,,,,,,,
Campi Salentina,Ufficio aziendale,,333 257 531,"Via Nino Bixio, 34",Campi Salentina,,,,,,,,,,,
Centro per l'Impiego di Campi Salentina - ARPAL Puglia,Centro per l'impiego,https://arpal.regione.puglia.it/,0832 156 6073,"Via Piemonte, 46",Campi Salentina,,protocollo@arpal.regione.puglia.it,https,React,No,InnovaPuglia SpA,35,40,92.00,Sì,No
Ufficio pratiche Luce e Gas,Ufficio aziendale,,348 406 0560,"Via XX Settembre, 6",Alessano,,,,,,,,,,,
Comune di Carpignano Salentino,Ufficio dell'amministrazione comunale,,0836 586017,"Via S. Rocco, 1",Carpignano Salentino,,,,,,,,,,,
Poste Italiane Poste Italiane S.P.A.,Ufficio postale,,0836 586033,"Via Salomi, Snc, Carpignano Salentino, Le 73020, Via Salomi, 22",Carpignano Salentino,,,,,,,,,,,
AGENZIA ZACHEO RICCARDO,Ufficio patenti,,380 346 0226,"Piazza Ognissanti, 23",Carpignano Salentino,,,,,,,,,,,
Comune Di Cannole Centro Informa Giovani Ufficio Uma,Municipio,,0836 411713,"Piazza S. Vincenzo, 25",Cannole,,,,,,,,,,,
Comune di Cannole,Municipio,,0836 318007,Via Aldo Moro,Cannole,,,,,,,,,,,
Municipio Comune di Bagnolo,Municipio,,0836 318005,"Via Rosario Mancini, 4",Bagnolo del Salento,,,,,,,,,,,
Unione Dei Comuni Di Cursi - Bagnolo Del Salento - Cannole - Palmariggi,Municipio,,0836 318711,"Via Rosario Mancini, 4",Bagnolo del Salento,,,,,,,,,,,
Ristorante DonPippiRestaurant,Ristorante,,376 055 8657,"V. Vincenzo Papaleo, 52",Bagnolo del Salento,,,,,,,,,,,
Polizia Locale - Campi Salentina,Vigile urbano,,0832 720614,"Via S. Giuseppe, 53",Campi Salentina,,,,,,,,,,,
Provincia Di Lecce,Ufficio statale locale,https://www.provincia.le.it/,0832 791127,"Via Piemonte, 46",Campi Salentina,,protocollo@cert.provincia.le.it,https,WordPress,Sì,PAth.Net S.p.A.,55,37,85.00,Sì,No
Municipio Di Alessano,Municipio,,800 689 498,"Piazza Assunzione,s.n, c",Alessano,,,,,,,,,,,
Ufficio Galattica Alessano - Torre dell'Orologio,Associazione,http://www.liber-azione.it/,320 764 2972,Piazza Don Tonino Bello,Alessano,,,https,WordPress,No,Aruba S.p.A. Network,76,94,92.00,Sì,No
Carabinieri • Comando Stazione Bagnolo Del Salento,Arma dei Carabinieri,,0836 318010,"Via G. Pajetta, 5",Bagnolo del Salento,,,,,,,,,,,
Cancelli Remolo,Negozio di mobili,,327 094 7143,"Via Roma, 115",Bagnolo del Salento,,,,,,,,,,,
Scuola Media Statale,Scuola pubblica,,0836 318166,"Via Roma, 119",Bagnolo del Salento,,,,,,,,,,,
Comune di Arnesano,Municipio,,0832 323813,"Via de Amicis, 20",Arnesano,,,,,,,,,,,
Master Mind Cartoleria,Cartoleria,,0832 327429,"Via Libertà, 16",Arnesano,,,,,,,,,,,
Monteco S.p.A. Sede Operativa - Campi Salentina,Servizio di raccolta rifiuti,https://campisalentina.montecospa.it/it/form/contattaci?source_entity_type=node&source_entity_id=479,0832 720411,Via Squinzano km. 2,Campi Salentina,,privacygroup-dpo@pec.it,https,Drupal,No,Contabo GmbH,59,51,100.00,Sì,No
Comune di Andrano,Municipio,,0836 929222,"Via Michelangelo, 25",Andrano,,,,,,,,,,,
Masseria Chiusura di Sotto. AZIENDA AGRARIA GRECO,Fattoria,http://www.aziendaagrariagreco.it/,380 209 9782,Via S. Cesario,Caprarica di Lecce,,info@aziendaagrariagreco.it,https,Shopify,No,Aruba S.p.A.,47,65,85.00,Sì,No
Unione Dei Comuni Cavallino - Lizzanello - Caprarica Di Lecce - Castri Di Lecce,Municipio,,0832 613112,"Via de Dominicis, 5",Cavallino,,,,,,,,,,,
