Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
CarBusTec,Servizio di noleggio scooter,https://www.carbustec.com,070 498399,"Via Molo Sant'Agostino, 25",Cagliari,,,https,Shopify,Sì,Netsons s.r.l.,66,87,92.00,Sì,No
Officina Moto e Servizio Soccorso Stradale Gianni Arzu,Agenzia di noleggio moto,,335 127 2190,"Via Dettori, 19",Tortolì,,,,,,,,,,,
Sardegna in vespa,Agenzia di noleggio moto,http://www.sardegnainvespa.com,392 139 5456,Partenze,Elmas,,,https,React,No,"Cloudflare, Inc.",63,94,75.00,Sì,No
White Mobility Noleggio e Vendita Scooter Bici Moto,Agenzia di noleggio moto,http://www.whitemobility.com,340 773 8406,"Via Fratelli Kennedy, 56",Alghero,,info@whitemobility.com,https,Joomla,No,IT.Gate S.p.A.,62,69,85.00,Sì,No
Noleggio Scooter Sant'Antioco 2 GO,Servizio di noleggio scooter,http://www.santantioco2go.it,349 624 8839,"59, Via Perret, 71",Sant'Antioco,,info@santantioco2go.it,https,Joomla,No,SEEWEB s.r.l.,63,74,92.00,Sì,No
MotoRentSardinia - Motorcycles Rental & Tour Alghero,Agenzia di noleggio moto,http://www.motorentsardinia.com,320 344 1226,Aeroporto di Alghero,Alghero,,info@motorentsardinia.com,https,React,Sì,"Cloudflare, Inc.",54,74,92.00,Sì,No
RENT SCOOTER ALGUER - NOLEGGIO SCOOTER ALGHERO,Agenzia di noleggio moto,http://www.rentscooteralghero.it,371 356 2523,"Via Giuseppe Mazzini, 161",Alghero,,scooteralguer@gmail.com,https,WordPress,No,Aruba S.p.A.,56,74,92.00,Sì,No
MotoGarage Lecce,Agenzia di noleggio moto,http://www.motogaragelecce.it,340 060 7106,"Viale Ugo Foscolo, 36",Lecce,,info@motogaragelecce.it,http,Joomla,Sì,Aruba S.p.A. Network,52,66,100.00,Sì,No
Moove Alghero,Agenzia di noleggio moto,https://www.moovealghero.it,342 618 0373,"Via Antonio Lo Frasso, 32A",Alghero,,info@moovealghero.it,https,Shopify,Sì,Netsons s.r.l.,63,87,100.00,Sì,No
SCOOTERIA DUE EFFE MOTO RENTING,Servizio di noleggio scooter,,0832 098110,Via leuca148,Lecce,,,,,,,,,,,
S.R. Noleggi,Agenzia di noleggio moto,http://www.srnoleggi.it,334 819 9576,Strada Provinciale 44,Alghero,,info@srnoleggi.it,https,Joomla,Sì,OVH SAS,59,63,92.00,Sì,No
Cielo Stellato Rent- Noleggio Moto,Agenzia di noleggio moto,,388 628 9134,"artmoda, Via Pompeo Sarnelli, 97",Polignano a Mare,,,,,,,,,,,
SP Motors,Agenzia di noleggio moto,http://www.spmotorsgallipoli.it,347 955 2144,"Via Ludovico Ariosto, 17",Gallipoli,,info@spmotorsgallipoli.it,https,WordPress,Sì,Hetzner Online GmbH,63,91,92.00,Sì,No
Overall Rent,Agenzia di noleggio moto,http://www.overallrent.it,392 994 6969,"Via XX Settembre, 53/C",Alghero,,info@overallrent.it,https,WordPress,Sì,OVH SAS,57,64,92.00,Sì,No
"Piaggio Center Archetta Noleggio Scooter-Auto-9 Posti-Ape Calessino,Brindisi-Porto Cesareo,Vendita-Assistenza Piaggio,Vespa",Servizio di noleggio scooter,http://www.salentorentarchetta.it,349 384 5672,"Via Caduti di Via Fani, 13",Torre Santa Susanna,,,https,ASP.NET,No,Aruba S.p.A,56,84,100.00,Sì,No
Mec Moto Noleggio,Agenzia di noleggio moto,,351 977 6262,"Via degli Artigiani, 1",Taviano,,,,,,,,,,,
Albuggy Rent,Agenzia di noleggio moto,https://www.albuggy.it,391 434 4963,"Via dei Fabbri, 5",Olbia,,albuggyolbia@gmail.com,,React,Sì,Aruba S.p.A.,67,86,85.00,Sì,No
Noleggio scooter palau,Servizio di noleggio scooter,https://noleggioscooterpalau.it,346 872 8022,"Via delle Ginestre, 10",Palau,,info@pushhardpalau.com,https,WordPress,No,Aruba S.p.A. Network,59,84,85.00,Sì,No
LUPOBIKE noleggio Auto Scooter anche senza carta di credito,Servizio di noleggio scooter,https://www.lupobike.it,338 130 2067,"Via Giuseppe Garibaldi, 56h",Olbia,,,https,Angular,No,OVH ISP,64,95,100.00,Sì,No
Salento Rent Hub,Servizio di noleggio scooter,http://salentorenthub.com,327 053 9632,"Via Tevere, 26",San Foca,,,https,React,No,wix com inc,53,89,92.00,Sì,No
Scooter a Gallipoli associazione Gallipoli in Scooter,Servizio di noleggio scooter,http://www.blurentgallipoli.it,349 476 6415,"Via Rosmini, 15",Gallipoli,,,http,WordPress,No,Aruba S.p.A.,51,59,92.00,Sì,No
189 Garage,Servizio di noleggio scooter,http://189garage.eu,371 335 7667,"Via Azuni, 17 Via Giuseppe mazzini 15, Via Amendola, 17",La Maddalena,,189garage@gmail.com,https,WordPress,No,Aruba S.p.A.,56,76,92.00,Sì,No
Sea Bounty Tourist Services,Servizio di noleggio scooter,https://www.seabounty.it/en,379 283 2817,"Via Porto Romano, 30",Olbia,,info@seabounty.it,https,WordPress,Sì,Netsons s.r.l.,60,92,85.00,Sì,No
Budoni Sweet Scooter,Servizio di noleggio scooter,https://www.budonisweethome.it/noleggio-scooter,379 103 1306,SS 125 Orientale Sarda,Budoni,,booking@budonisweethome.it,https,ASP.NET,Sì,Amazon Technologies Inc.,56,73,100.00,Sì,No
MyScoot.net | Noleggio Scooter | Cagliari Centro,Servizio di noleggio scooter,https://www.myscoot.net,328 218 2395,"Viale Trieste, 95",Cagliari,,net@gmail.com,https,Shopify,No,Server Plan S.r.l.,85,99,92.00,Sì,No
ST Rent,Servizio di noleggio scooter,http://www.st-rent.com,347 969 3418,"Via Sardegna, sn",Suaredda-traversa,,,https,React,Sì,Google LLC,79,97,100.00,Sì,No
Rent For Cagliari Centro città c/o Garage 72,Agenzia di noleggio moto,http://rentforcagliari.com,392 992 4699,"Via Sassari, 12",Cagliari,,info@rentforcagliari.com,http,Shopify,No,WIIT AG,74,94,92.00,Sì,No
Rentame,Servizio di noleggio scooter,http://www.rentame.it,377 094 6406,"Via Emilio Lussu, 10",Santa Teresa Gallura,,rentame.it@gmail.com,https,Joomla,Sì,Keliweb S.R.L,55,56,85.00,Sì,No
Motoparadiso 5,Agenzia di noleggio moto,http://motoparadiso5.com,366 997 1067,"Via delle Terme Vicolo E, B, n° 3",Olbia,,info@motoparadiso5.com,https,React,No,Strato AG,56,75,85.00,Sì,No
MOTORBIKE RIDE SARDINIA,Agenzia di noleggio moto,https://www.motorbikeridesardinia.com,320 083 4508,"Via Fausania, 9/A",Olbia,,,https,Shopify,No,Hetzner Online GmbH,65,93,100.00,Sì,No
Vespa Tour Sardinia,Servizio di noleggio scooter,https://vespatoursardinia.it,351 763 1423,"Via Roma, 148",Villasimius,,info@vespatoursardinia.it,https,React,Sì,Seflow S.N.C. Di Marco Brame' & C.,42,50,92.00,Sì,No
Escursioni Orosei,Agenzia di noleggio moto,http://www.escursioniorosei.com,328 143 4630,Viale Calaliberotto,Cala Liberotto,,picanino@tiscali.it,https,React,No,Aruba S.p.A.,42,46,92.00,Sì,No
Road Runner Scooter Rent,Servizio di noleggio scooter,http://www.rrscooterrent.com,327 851 1342,"Via Luigi Miccoli, 57",Ostuni,,rrscooterrent@gmail.com,https,WordPress,Sì,Aruba S.p.A. Network,49,90,92.00,Sì,No
