Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
B&B Sant Arcangelo,Bed & Breakfast,,375 511 6012,"Via Francesco Crispi, 6",Sant'Agata di Puglia,,,,,,,,,,,
LE STAGIONI DELLA VITA,Bed & Breakfast,,328 842 7433,"Via Michelangelo Buonarroti, 16",Bovino,,,,,,,,,,,
"B&B Il Sambuco, Accadia (FG), Italia",Bed & Breakfast,,333 955 3045,SP139,Accadia,,,,,,,,,,,
Villa Di Miscio,Bed & Breakfast,https://www.hotelsandiamo.com/villa-di-miscio/,0881 984717,"Viale S. Rocco, 2",Sant'Agata di Puglia,,,https,WordPress,No,"Cloudflare, Inc.",100,100,92.00,Sì,No
VIENIACASACCADIA,Bed & Breakfast,,337 140 7673,"Via Albino Metauro, 6",Accadia,,,,,,,,,,,
Agriturismo Radici Contadine,Hotel,https://www.radicicontadine.it/,377 160 3172,28RR+RV,Bisaccia,,agriturismo@radicicontadine.it,https,WordPress,Sì,Aruba S.p.A.,64,95,75.00,Sì,No
Bed & Breakfast Corso Roma,Bed & Breakfast,http://bnbcorsoroma.it/,349 640 3977,"Piazzale Andrea Costa, 2",Apricena,,,http,React,No,"Amazon.com, Inc.",64,87,100.00,Sì,No
B&B Federico II,Bed & Breakfast,,346 825 5931,Corso Generale Torelli,Apricena,,,,,,,,,,,
B&B Giulimà,Bed & Breakfast,http://www.giulima.it/,340 121 2065,"Via A. Pertini, 35",Rocchetta Sant'Antonio,,info@giulima.it,http,WordPress,No,miXus - internetsolutions DE-DUS,44,59,92.00,Sì,No
B&B Poesia,Bed & Breakfast,,333 630 7652,"Corso Umberto I° di Savoia, 4",Lesina,,,,,,,,,,,
B&B Marconi,Bed & Breakfast,,347 242 1672,"Via Po, 29",Poggio Imperiale,,,,,,,,,,,
B&B Da Nicola,Bed & Breakfast,,331 288 3795,"Via Giovanni Pascoli, 9",Poggio Imperiale,,,,,,,,,,,
B&B Poggio Marano,Bed & Breakfast,,329 543 7790,"Località Marano, 7",San Bartolomeo in Galdo,,,,,,,,,,,
B&B Caterina,Bed & Breakfast,,347 706 5865,"Vico I Duomo, 3",Biccari,,,,,,,,,,,
B&B Nonna Rosa,Bed & Breakfast,,340 864 9101,"Piazzale dei Caduti, 19",Biccari,,,,,,,,,,,
Agriturismo Casale Cerere,Agriturismo,https://www.casalecerere.it/,329 923 5292,"Contrada Serritelli, 61",Lacedonia,,info@casalecerere.it,https,Shopify,No,Aruba S.p.A.,56,81,92.00,Sì,No
Affittacamere La Torre,Bed & Breakfast,,379 235 9213,"Via Roma, 45",Biccari,,,,,,,,,,,
Le casette di CriRò,Bed & Breakfast,,340 533 1738,"Via Roma, 27",Biccari,,,,,,,,,,,
A Casa Nostra,Bed & Breakfast,http://www.acasanostracandela.it/,335 157 2312,"Viale Antonino Ripandelli, 87",Candela,,info@acasanostracandela.it,http,WordPress,No,miXus - internetsolutions DE-DUS,66,69,92.00,Sì,No
Grotta degli Ulivi,Ristorante,http://www.grottadegliulivi.it/,0882 645834,Contrada Dell'Incoronata,Apricena,,,http,React,No,Serverplan s.r.l.,64,85,100.00,Sì,No
B&B Anna e Augusto,Bed & Breakfast,,320 154 6186,"Via Carlo Marx, 4",Lucera,,,,,,,,,,,
Palazzo del Conte,Bed & Breakfast,,327 552 3231,"Via Umberto I, 19",Castelluccio Valmaggiore,,,,,,,,,,,
Agriturismo La Tana Della Volpe,Bed & Breakfast,https://www.tanadellavolpebb.it/,347 244 8831,Via Macchia Vacantia,Flumeri,,info@tanadellavolpebb.it,https,WordPress,No,Aruba S.p.A.,44,77,92.00,Sì,No
Beb A CASA D NENÉ,Bed & Breakfast,,345 455 9874,"Via Cesare Battisti, 117",Lesina,,,,,,,,,,,
Relais San Marco Luxury Guest House,Bed & Breakfast,,389 915 4736,Via S. Marco,Volturino,,,,,,,,,,,
B&B RISTOBAR CRISTAL AGE (Siria b&b),Bed & Breakfast,https://bb-ristobar-cristal-age.albergo.top/,376 095 3641,"S.S. 89 KM 3, Via Apricena, 480",San Severo,,,https,React,No,Contabo GmbH,51,83,92.00,Sì,No
Pacifico Rooms affittacamere,Bed & Breakfast,,393 678 8747,"Via Costa, 48a",San Bartolomeo in Galdo,,,,,,,,,,,
B&B Agorà,Bed & Breakfast,,328 692 4010,"Via Madonna delle Grazie, Piazza Giacomo Matteotti, 106",Biccari,,,,,,,,,,,
