Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Abbigliamento Trend La Griffe Di D'Apolito Arcangelo,Negozio di abbigliamento,,0884 80636,"Viale Montegrappa, 13",Cagnano Varano,,,,,,,,,,,
Millecose,Negozio di alimentari,,338 390 7728,Via Pietro Nenni,Carpino,,,,,,,,,,,
Contaldo Moda,Negozio di abbigliamento,,329 979 6354,"Via Amerigo Vespucci, 2",Cocumola,,,,,,,,,,,
Share abbigliamento donna,Negozio di abbigliamento,,349 648 7151,"Corso Nazionale, 244",Scafati,,,,,,,,,,,
Silvestri Michele,Negozio di abbigliamento,,0881 961570,"Corso Vittorio Emanuele II, 13",Bovino,,,,,,,,,,,
Tabacchino La Fenice di Dimino Vincenza Cynthia,Tabaccheria,,0881 592167,"Via Stradale Lucera, 58",Alberona,,,,,,,,,,,
Imperial di Ventrella Donato - Antony Morale,Negozio di abbigliamento,,0881 200975,"Via Firenze, 1A",Lucera,,,,,,,,,,,
BOVE 1897,Negozio di abbigliamento,http://www.bove.it/,0824 874900,"Via Collepiano, 18",Torrecuso,,info@bove.it,http,ASP.NET,No,Aruba S.p.A. Network,91,100,91.00,Sì,No
Tam Tam,Boutique,,0881 525035,"Via Bari, 11",Lucera,,,,,,,,,,,
Komos Moda,Negozio di abbigliamento,,0881 530276,"Corso Manfredi, 1",Lucera,,,,,,,,,,,
Valeria Vanity,Negozio di abbigliamento,,0881 545971,"Via Vittorio Veneto, 62",Lucera,,,,,,,,,,,
Centro Moda Elisabetta Abbigliamento Uomo-Donna,Negozio di abbigliamento,,0881 970740,"Via Dante Alighieri, 2",Troia,,,,,,,,,,,
Carmelino Buono,Negozio di abbigliamento,http://www.carmelinobuono.it/,0881 970039,"Via Regina Margherita, 160",Troia,,carmelinobuono@virgilio.it,http,WordPress,No,Combell NV,65,72,92.00,Sì,No
Carolina Di Corso,Negozio di abbigliamento giovanile,,0881 522436,"Via Federico II, 15/17",Lucera,,,,,,,,,,,
Petracca Donata,Negozio,,0884 997190,"Via Roma, 76",Carpino,,,,,,,,,,,
BRITA ABBIGLIAMENTO,Negozio di abbigliamento,,0824 967055,"Via Regina Margherita, 3/5",San Bartolomeo In Galdo,,,,,,,,,,,
Farmacia Lepore Dr.ssa Maria Antonietta,Farmacia,http://www.farmacialepore.it/,0881 592090,Via Belvedere,Alberona,,,http,Odoo,No,Keliweb S.R.L,56,71,54.00,Sì,Sì
Charme & More di Polito Angela,Negozio di abbigliamento,,0881 530840,"Via Luigi Zuppetta, 28",Lucera,,,,,,,,,,,
Griffes Boutique Deliceto,Negozio di abbigliamento,https://www.griffesboutique.com/,0881 963928,"Corso Margherita, 64/66",Deliceto,,griffesboutique.shoponline@gmail.com,https,React,Sì,Google LLC,25,80,100.00,Sì,No
Bove Abbigliamento,Negozio di abbigliamento,http://www.abbigliamentobove.it/,0833 914180,"Corso Vittorio Emanuele II, 2",Taviano,,johndoe@domain.com,http,Magento,No,Server Plan S.r.l.,62,56,83.00,Sì,No
I PISCIARELLI,Ristorante,,351 029 4349,"Via Pisciarelli, 2",Alberona,,,,,,,,,,,
Calzature Golia Di Golia Domenico,Negozio di scarpe,,0881 558207,"Via A. Diaz, 97",Casalnuovo Monterotaro,,,,,,,,,,,
Fever,Negozio di abbigliamento donna,,0881 525014,"Via Antonio Gramsci, 31",Lucera,,,,,,,,,,,
