Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Noleggio gommni e barche Porticello - Lo Coco,Noleggio barche,,091 958876,Largo Santa Nicolicchia,Santa Flavia,,,,,,,,,,,
Escursioni e Noleggio Licata - Coast to Coast,Noleggio barche,,393 379 6170,"Porto Peschereccio | Darsena, Via Ripellino",Licata,,,,,,,,,,,
TakeTheBoat Noleggio Gommoni,Noleggio barche,,327 753 1762,"Di Giovanni, Piazza Tonnara",Palermo,,,,,,,,,,,
Noleggio barche – A.S.D. La rosa dei venti Licata,Noleggio barche,,349 453 0521,"Pontile presso la Darsena di, Via Marianello",Licata,,,,,,,,,,,
Sicily by Boat - Boat Tours - Boat Rent- Snorkelling,Noleggio barche,,328 678 8316,Lungomare Cristoforo Colombo,Santa Flavia,,,,,,,,,,,
Elika noleggio barche,Noleggio barche,,351 867 5900,Via Delle Capitanerie,Balestrate,,,,,,,,,,,
Pontile 1 Noleggio Imbarcazioni nautica Mancuso,Noleggio barche,,328 443 5093,"Via Scalo Marittimo, 4",Trabia,,,,,,,,,,,
Sicily Boat Rent Noleggio Gommoni,Noleggio barche,http://www.sicilyboatrent.it,347 578 1372,"Piazza Tonnara, snc",Palermo,,sicilyboatrent@gmail.com,https,WordPress,No,Netsons s.r.l.,60,71,85.00,Sì,No
CWS NOLEGGIO BARCHE E GOMMONI,Noleggio barche,,351 525 4300,Via Orsa Maggiore,Castiglione della Pescaia,,,,,,,,,,,
Spartivento Charter Portorosa - Noleggio Barche a Vela e Catamarani,Noleggio barche,http://www.spartivento.it,06 4006 0490,"Via Prestipaolo, snc",Tonnarella,,info@spartivento.it,https,WordPress,No,"Cloudflare, Inc.",50,67,100.00,Sì,No
Skyseacharter Noleggio Barche e Gommoni con e senza patente a Milazzo - Taxi Boat h24 - Tour ed escursioni alle Isole Eolie.,Noleggio barche,https://skyseacharter.it,350 161 3963,Via Marina Garibaldi,Milazzo,,rent@skyseacharter.it,https,WordPress,No,"Cloudflare, Inc.",65,100,100.00,Sì,No
Boat Service Mondello,Noleggio barche,http://www.boatservicemondello.it,327 561 8175,Via Piano di Gallo,Palermo,,info@boatservicemondello.com,https,WordPress,No,Server Plan S.r.l.,65,83,85.00,Sì,No
"Noleggio Barche & Gommoni con e senza patente Milazzo , Tour ed Escursioni con skipper, Transfer Isole Eolie - Viamar",Noleggio barche,https://viamarmilazzo.it,353 424 4507,Via Marina Garibaldi,Milazzo,,noleggiobarchemilazzo@gmail.com,https,ASP.NET,Sì,Google LLC,65,83,92.00,Sì,No
Azmarine - Noleggio gommoni e barche a Siracusa. Rent a boat in Syracuse,Noleggio barche,https://www.azmarine.it,393 940 2444,Molo Zanagora,Siracusa,,info@azmarine.it,https,WordPress,No,Sconosciuto,96,100,100.00,Sì,No
Tao Sea Boat,Servizio di trasporto con accompagnatore,http://www.taoseaboat.com,349 076 4616,Via Torrente Mazzeo,Letojanni,,geom.moschella78@gmail.com,https,WordPress,Sì,TransIP BV,56,80,100.00,Sì,No
PlainSailing.com Yacht Charter,Noleggio barche,https://plainsailing.com/destinations/italy/portorosa,+44 800 612 8210,"Marina di Portorosa, Via Prestipaolo, 7",Tonnarella,,info@plainsailing.com,https,React,No,Amazon Technologies Inc.,66,76,100.00,Sì,No
Sailing Sicily Portorosa,Noleggio barche,https://sailingsicily.com/portorosa,091 580679,"Via Prestipaolo, 151",Tonnarella,,,https,WordPress,Sì,Aruba Hosting,36,46,92.00,Sì,No
FC NAUTICA NOLEGGIO RIMESSAGGIO,Noleggio barche,http://www.fcnautica.com,328 973 2517,Via Torre Fortunato,Case Nuove Russo,,info@fcnauticaweb.com,https,WordPress,Sì,One.com A/S,56,77,85.00,Sì,No
Margidore Yacht Club,Noleggio barche,http://www.margidoreyachtclub.com,327 900 3272,"Via del Capo, Marinaio",Lacona,,margidoreyachtclub@gmail.com,https,WordPress,No,Sconosciuto,70,87,85.00,Sì,No
Dream Boat Palermo - Noleggio Gommoni e Barche,Noleggio barche,http://www.dreamboatpalermo.it,350 839 2285,Discesa Tonnara,Palermo,,dreamboatpalermo@gmail.com,https,React,No,Sconosciuto,61,78,100.00,Sì,No
Alta Marea noleggio barche senza patente e escursioni,Noleggio barche,,333 571 9400,Porto turistico,San Foca,,,,,,,,,,,
"Guarino Boats Tour Avola e Noto, Siracusa - Sicilia Escursioni in Barca e Noleggio Barche",Agenzia di escursioni in barca,https://www.rentalboatinsicily.it,347 897 8424,"Noleggio barche Guarino, Via Elsa Morante, n°178",Avola,,info@rentaboatinsicily.it,https,Shopify,Sì,Keliweb S.R.L,60,87,92.00,Sì,No
LG RENTAL SERVICE NOLEGGIO BARCHE ED ESCURSIONI CASTELLAMMARE DEL GOLFO,Noleggio barche,https://lgrentalservice.it,328 662 3791,"Via Don Leonardo Zangara, 28",Castellammare del Golfo,,,https,Joomla,Sì,Aruba S.p.A.,59,69,100.00,Sì,No
PORTOROSA IN BARCA,Noleggio barche,http://www.portorosainbarca.com,392 624 3589,"Complesso turistico Portorosa, Via Prestipaolo, 27",Furnari,,portorosainbarca@gmail.com,https,WordPress,Sì,Register networks in Belgium,62,83,100.00,Sì,No
Sunsicily - Noleggio barche Isole Eolie - Sicily Yacht Charter,Noleggio barche,http://www.sunsicily.com,090 292 7680,"Via Prestipaolo, Portorosa",Furnari,,,https,Wix,Sì,Google LLC,63,89,92.00,Sì,No
Marina Yachting Cefalù,Noleggio barche,https://marina-service.net,338 837 4728,"Porto di, Via Presidiana",Cefalù,,,https,ASP.NET,No,Hetzner Online GmbH,62,71,82.00,Sì,No
Charter Nautico Terrasini,Noleggio barche,https://www.charternauticoterrasini.it,328 398 9506,"Via Francesco Paolo Perez, Via Delle Capitanerie di Porto, 51",Terrasini,,charternauticoterrasini@gmail.com,https,React,No,Sconosciuto,62,85,92.00,Sì,No
Forte Mare - Escursioni Scala Dei Turchi & Noleggio barche,Agenzia di escursioni in barca,https://www.fortemare.it,320 862 3541,"Porticciolo turistico San Leone, Molo di Ponente",Agrigento,,info@fortemare.it,https,WordPress,Sì,Google LLC,52,53,100.00,Sì,No
SealifePalermo di Simone Pepe,Noleggio barche,http://www.sealifepalermo.it,327 162 8530,"Porto Addaura Roosevelt, Lungomare Cristoforo Colombo, 4521",Palermo,,sealifepalermo@gmail.com,https,Shopify,Sì,Google LLC,52,54,92.00,Sì,No
Nautilhouse - Coral Marine Services,Fornitore di accessori nautici,http://www.nautilhouselicata.it,334 772 8152,Corso Umberto Argentina,Licata,,info@nautilhouselicata.it,https,React,Sì,VHosting,62,91,92.00,Sì,No
Nautica Boat Service by Campello Marine Rent,Noleggio barche,https://rent.campellomarine.it/cattolica,331 732 2019,Piazza del Tramonto,Cattolica,,cmrent.cattolica@gmail.com,https,Ghost,Sì,Sconosciuto,56,87,85.00,Sì,No
"Navarra Excursions Noleggio Barche, Escursioni Castellammare del Golfo, Scopello, Riserva dello zingaro",Noleggio barche,,339 314 4968,"Via Don Leonardo Zangara, 76",Castellammare del Golfo,,,,,,,,,,,
Siculiana On Tour - Noleggio Gommoni,Noleggio barche,https://www.siculianaontour.it,334 112 9495,"Via Ugo la Malfa, 43",Siculiana,,,https,Shopify,No,SEEWEB s.r.l.,71,81,83.00,Sì,No
Nautica Service D'Aleo,Noleggio barche,http://www.nauticaservicepalermo.com,344 111 7808,"Via Ruggero Marturano, 28",Palermo,,460ff4620fa44cba8df530afde949785@sentry.wixpress.com,https,WordPress,No,Google LLC,83,92,100.00,Sì,No
Chelonia - Noleggio barche,Noleggio barche,https://chelonia.it,333 618 8906,Via delle Ginestre,Butera,,info@chelonia.it,https,Nicepage,No,Sconosciuto,55,64,73.00,Sì,No
Porto Cesareo - Vip Charter Yacht,Noleggio barche,https://www.portocesareovipcharter.com,339 716 0531,Piazza Nazario Sauro,Porto Cesareo,,,https,WordPress,No,Mister Domain,68,89,100.00,Sì,No
Sea Wave noleggio gommoni Marsala,Noleggio barche,http://www.seawavecharter.it,329 184 8135,Lungomare Mediterraneo,Marsala,,info@seawavecharter.it,https,React,Sì,Sconosciuto,52,55,85.00,Sì,No
Yacht Charter Sicily - Noleggio Barche Sicilia - Luxury Yachts,Noleggio barche,http://www.yachtchartersicily.it,338 572 3420,"Via Guido Jung, 14",Palermo,,info@crewcharter.it,https,React,No,Sconosciuto,56,65,100.00,Sì,No
"PANTANELLO BOAT Escursioni in barca Avola, Noleggio barche e Gommoni, Rental, Tour Excursions Sicily, NOTO, MARZAMEMI",Agenzia di escursioni in barca,https://www.pantanelloboat.com,328 311 3505,"Via Elsa Morante, 180",Avola,,pantanelloboat@gmail.com,,React,No,Sconosciuto,64,80,100.00,Sì,No
FELICUR - Noleggio barche con skipper - Isole Eolie,Noleggio barche,http://felicur.com,347 993 3310,"Portorosa, Marina di",Furnari,,,https,React,No,Google LLC,59,94,83.00,Sì,No
Campanella Srl,Noleggio barche,https://www.campanellarent.it,0924 34977,"Via Molinello, 28/A",Castellammare del Golfo,,info@campanellarent.com,https,React,Sì,Server Plan S.r.l.,62,94,92.00,Sì,No
Ciuri Ciuri Mare Noleggio Gommoni Palermo,Noleggio barche,https://www.ciuriciurimare.com,342 569 2902,"Via Domenico Scinà, 15",Palermo,,,https,WordPress,No,Aruba S.p.A.,56,74,85.00,Sì,No
"Sicily Boats - AVOLA - Escursioni e noleggio barche, gommoni, Pesca, Luxury Tour, Rental, Party",Noleggio barche,https://www.sicilyboats.it,327 020 7488,"Via Elsa Morante, 3",Avola,,sicilyboats@gmail.com,https,WordPress,No,Aruba S.p.A. Network,50,75,92.00,Sì,No
"Noleggio gommoni, escursioni, compleanni",Noleggio barche,,391 356 2351,porto turistico,San Foca,,,,,,,,,,,
Escursioni e Noleggio barche Riccardo Ingrosso,Agenzia di escursioni in barca,https://www.noleggiobarchericcardoingrosso.com,348 713 1979,Via Lungomare Matteotti,San Foca,,r.i.noleggiobarche@gmail.com,https,WordPress,Sì,Sconosciuto,45,56,100.00,Sì,No
Gommoniegadi Noleggio Gommoni,Noleggio barche,http://www.gommoniegadi.it,327 957 7596,"Lungomare Mediterraneo, 25",Marsala,,info@gommoniegadi.it,https,Shopify,No,Sconosciuto,59,51,77.00,Sì,No
Portum srl,Noleggio barche,http://www.portum.it,376 057 1070,Via Schisò,Giardini Naxos,,info@portum.it,https,Shopify,Sì,Netsons s.r.l.,59,93,92.00,Sì,No
