Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Ali di Carta - Cartolibreria,Cartoleria,,375 676 1702,"Via Leonardo da Vinci, 13",San Marco Evangelista,,,,,,,,,,,
COPIAINCOLLA Cartolibreria e Ingrosso TONER,Cartoleria,,0882 601093,"Via Enrico Berlinguer, 2",Torremaggiore,,,,,,,,,,,
La Matita Di Radoia Maria,Cartoleria,,0884 853276,"Via di Vagno, 10",Cagnano Varano,,,,,,,,,,,
Cartoleria San Marco,Cartoleria,,0965 921391,"Via San Marco, 13",Reggio di Calabria,,,,,,,,,,,
Edicola Lo Scrigno di De Simone Sandra,Edicola,,0884 80983,"Via XX Settembre, 12",Cagnano Varano,,,,,,,,,,,
Cartolibreria San Francesco,Cartoleria,,0881 200492,"Via Nicola Campanile, 1",Lucera,,,,,,,,,,,
Cartolibreria Libri E Sfizi G & C Srl,Cartoleria,,0825 827381,"Via Cardito, 11",Ariano Irpino,,,,,,,,,,,
Cartolibreria Effe di Barletta Fabio,Cartoleria,,0882 221318,"Via Don Minzoni, 8",San Severo,,,,,,,,,,,
Il Pennarello,Cartoleria,,0881 362155,"Via Pasubio, 133",Lucera,,,,,,,,,,,
Cartolibreria “Lo Scarabocchio” di Torquato Teresa,Negozio di articoli da regalo,,347 413 9706,Via Cappella,Rocchetta Sant'Antonio,,,,,,,,,,,
Emmevi Cartoleria,Cartoleria,,331 537 0510,"Via Roma, 197",Bonito,,,,,,,,,,,
Non Solo Tabacchi Di Circelli Filomena,Tabaccheria,,0881 556623,"Corso Umberto, 134",San Marco La Catola,,,,,,,,,,,
Cartolibreria Angela Di Vardaro A.,Cartoleria,,0825 994418,"Corso Garibaldi, 123",Altavilla Irpina,,,,,,,,,,,
Cartolibreria Il Cubo,Cartoleria,,0881 966388,"Corso Vittorio Emanuele, 16",Bovino,,,,,,,,,,,
Il Castello di Carta,Cartoleria,,0825 401582,"Via Dante Alighieri, 30",Gesualdo,,,,,,,,,,,
L'angolo delle Idee di De Rogatis Salvatore Rosario,Cartoleria,,0825 444042,"Via Pagliara, 130",Frigento,,,,,,,,,,,
Mille Idee Di Massaro Simona,Cartoleria,,0825 825593,"Via Martiri, 95/A",Ariano Irpino,,,,,,,,,,,
Cartolibreria Clip,Cartoleria,,0824 922805,"Via Aldo Moro, 38",Apice Nuovo,,,,,,,,,,,
Comune di Anzano di Puglia,Municipio,,0881 982037,"Piazza Municipio, 2",Anzano di Puglia,,,,,,,,,,,
MONDO GIUS SRL,Cartoleria,,0827 46000,Via Ronca,Lioni,,,,,,,,,,,
CARTOLIBRERIA FALA,Cartoleria,,328 752 5310,"Via Nicola Campanile, 23",Lucera,,,,,,,,,,,
Materiali Edili Guiducci,Fornitore di materiali da costruzione,,0881 982032,"SP136bis, 32",Anzano di Puglia,,,,,,,,,,,
Lucarelli Vera,Edicola,,0881 981281,"Via Giuseppe Mirabella, 106",Accadia,,,,,,,,,,,
Tabaccheria LANDI di Pasquariello Giuseppe,Tabaccheria,,347 470 6230,"Via Don Luigi Sturzo, 2",Accadia,,,,,,,,,,,
Non solo gadget,Cartoleria,,393 673 5512,"Via Giuseppe Mirabella, 109",Accadia,,,,,,,,,,,
Tabaccheria da Francesco,Tabaccheria,,0881 317152,"Viale Roma, 19",Accadia,,,,,,,,,,,
New Print di Scapicchio Lucia,Copisteria,,347 178 9218,"Via Muscillo, 20",Accadia,,,,,,,,,,,
"IQOS PARTNER - Marinaccio Antonio, Accadia",Tabaccheria,,0881 981626,"Piazza S. Luigi, 6",Accadia,,,,,,,,,,,
Cartolaio Matto Di Di Pippo Pierangela,Cartoleria,,0885 433065,"Corso Giuseppe Garibaldi, 23",Stornarella,,,,,,,,,,,
Agenzia 'Olga' Di Russo Maria,Agenzia pratiche automobilistiche e nautiche,,0881 981830,"Viale Roma, 29",Accadia,,,,,,,,,,,
Coscia Anna,Tabaccheria,,0881 552030,"Via Nicola de Simone, 62",Carlantino,,,,,,,,,,,
Cartolibreria Nicolella Elvira,Cartoleria,,0882 334029,"Corso Amedeo D'Aosta, 24",San Severo,,,,,,,,,,,
Daunia Artigiana,Negozio di articoli da regalo,,338 909 9932,"Corso Europa, 113",Carlantino,,,,,,,,,,,
Cartolibreria Universitaria,Cartoleria,,0881 770418,"Via Galliani, 14",Foggia,,,,,,,,,,,
Cartoonito,Cartoleria,,380 372 3878,Via Roma,Stornara,,,,,,,,,,,
Baldassarre Daniela Nora Libreria C` Art,Libreria,,0881 770749,"Via Quattro Novembre, 6",Foggia,,,,,,,,,,,
Cartfast,Cartoleria,,0881 716665,"Via Homs, 8",Foggia,,,,,,,,,,,
Cartolandia,Cartoleria,,0885 328297,Via II Giugno,Orta Nova,,,,,,,,,,,
Cartolibreria Edicola Carta & Penna Di Francesco Vincenzo Porcelluzzi,Cartoleria,,0883 517471,"Via Giuseppe Palmitessa, 58",Barletta,,,,,,,,,,,
Cartolibreria Di Romano Carolina,Cartoleria,,0881 519028,"Via Boccamazzo, n. 19",Pietramontecorvino,,,,,,,,,,,
Cartoleria Il Matitone,Cartoleria,,0882 430841,"Viale Checchia Rispoli, 11",San Severo,,,,,,,,,,,
Figure Cartolibreria,Cartoleria,,0881 708522,"Via Raffaele Nannarone, 42",Foggia,,,,,,,,,,,
Trallo Paolo Cartolibreria,Cartoleria,,0885 427586,"Via Bologna, 2/b",Cerignola,,,,,,,,,,,
Cartunia,Cartoleria,,0883 622288,"Via Nazionale, 55",San Ferdinando di Puglia,,,,,,,,,,,
Cartoleria Everything Di Patete A,Cartoleria,,0881 610062,"Via Giacomo Matteotti, 163",Foggia,,,,,,,,,,,
DI FIORE CARTOLIBRERIA,Cartoleria,,0885 328356,"Via Giuseppe Garibaldi, 23",Carapelle,,,,,,,,,,,
Cartolibreria Deco’,Cartoleria,,0881 618267,"Via Benedetto Croce, 2",Foggia,,,,,,,,,,,
Comune di Carlantino,Municipio,,0881 552224,Corso Europa,Carlantino,,,,,,,,,,,
Comune di Faeto,Municipio,,0881 973290,"Via Cappella, 1",Faeto,,,,,,,,,,,
Off Side Di Santarelli Gaetano,Rivenditore di biglietti della lotteria,,0882 641726,"Viale Aldo Moro, 86",Apricena,,,,,,,,,,,
Ardaf Cartolibreria Cancelleria Di Guido Francesca,Cartoleria,,0885 420714,"Via Giovanni Falcone, 48",Cerignola,,,,,,,,,,,
Mediaservice Di Del Campo Primiano Fausto,Centro per l'impiego,,0882 302712,"Via Giuseppe D'Elia, 12",Apricena,,,,,,,,,,,
La Cicca Riv. N. 11 Di Violano Ciro,Tabaccheria,,0882 645417,"Viale Palmiro Togliatti, 22/c",Apricena,,,,,,,,,,,
Gallery Home,Negozio di biancheria da letto,,389 557 5657,"Viale Aldo Moro, 108/A",Apricena,,,,,,,,,,,
