Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Residenza Papa Giovanni XXIII,Centro anziani,,0833 185 2059,"Via Papa Giovanni XXIII, 5",Galatone,,,,,,,,,,,
SALUS servizi socio-sanitari,Assistenza agli anziani,http://www.salus-servizi.it,0833 771778,"Via Luigi Galvani, 22",Tricase,,info@salus-servizi.it,https,WordPress,No,Aruba S.p.A. Network,67,94,92.00,Sì,No
La Dolce Vita - Residenza per anziani,Casa di riposo,,327 587 1822,"Via della Libertà, 15",Veglie,,,,,,,,,,,
Gruppo Azalea Srl,Casa di riposo,,0832 194 1455,"Via Silvio Pellico, 17",Veglie,,,,,,,,,,,
Casa Per La Vita - Le Foglie,Casa di riposo,https://casamata.it/casa-per-la-vita-le-foglie,0833 599830,"Via Agnesi Cda Pigna, 32",Casarano,,casaamatasrl@virgilio.it,https,WordPress,No,Aruba S.p.A,57,89,92.00,Sì,No
Residenza Socio Assistenziale Madonna del Rosario,Casa di riposo,http://www.emmanuelservizisanitari.it,0832 315696,"Viale Ugo Foscolo, 26",Lecce,,emmanuelservizisanitari@gmail.com,https,Joomla,No,Aruba S.p.A.,56,97,100.00,Sì,No
Tre Petali - assistenza anziani e disabili -,Assistenza agli anziani,http://www.trepetali.it,370 125 5832,"Via Ves. A, Via Vescovo Verrienti",Veglie,,info@trepetali.it,http,WordPress,No,Aruba S.p.A. Network,38,59,92.00,Sì,No
Anni d'Oro - Residenza per Anziani,Casa di riposo,,393 828 0790,"Via Martiri del Risorgimento, 52",Copertino,,,,,,,,,,,
Fondazione Edoardo Filograna,Casa di riposo,http://www.fondazionefilograna.it,0833 504609,"Viale Salvatore de Matteis, 27",Casarano,,info@fondazionefilograna.it,https,React,Sì,Aruba S.p.A.,85,92,92.00,Sì,No
Rsa Buon Pastore,Casa di riposo,,0832 246022,"Via Fiume, 63",Lecce,,,,,,,,,,,
R.S.A. Villa Sofia,Casa di riposo,http://villasofiasite.wordpress.com,0832 352491,"Via Martino Luigi Caroli, 10",Lecce,,villa.sofia@libero.it,https,WordPress,No,"Automattic, Inc",63,90,100.00,Sì,No
Villa AntoRi,Casa di riposo,https://www.villaantori.it,320 766 2934,"Via Leonardo Da Vinci, 37",Lizzanello,,villaantori@libero.it,https,Joomla,No,myLoc managed IT AG,68,90,92.00,Sì,No
Casa famiglia per anziani Villa Mariangela,Casa di riposo,http://www.villamariangela.it,340 694 5741,"Via Preti di Campi, 22",Lequile,,info@villamariangela.it,https,WordPress,No,Aruba S.p.A.,35,60,85.00,Sì,No
Soluzioni Assistenziali Amiche,Assistenza agli anziani,https://www.soluzioniassistenzialiamiche.it,388 955 9806,"Via S. Lazzaro, 10",Lecce,,info@soluzioniassistenzialiamiche.it,https,Shopify,Sì,Aruba S.p.A.,63,88,92.00,Sì,No
Centro Diurno Neretum Care,Assistenza agli anziani,,0833 185 7726,"Via XXV Luglio, 74",Nardò,,,,,,,,,,,
RSA RESIDENZA SANT ANTONIO SRL,Casa di riposo,http://santantoniorsa.it,0832 712299,"Via Veneto, 6",Novoli,,info@santantoniorsa.it,https,WordPress,Sì,Aruba S.p.A.,44,56,92.00,Sì,No
Casa Alloggio per anziani Villa Monica,Casa di riposo,,0832 169 6015,"Via IV Novembre, 40",San Cesario di Lecce,,,,,,,,,,,
Villa Iris Villa Iris Residenze Socio Sanitarie Per Anziani,Casa di riposo,https://www.korian.it/strutture/villa-iris-trepuzzi,0832 782555,"Snc, Provinciale, Via Campi",Trepuzzi,,info.villairistrepuzzi@korian.it,https,Vue,No,Microsoft Corporation,37,76,100.00,Sì,No
Casa Serena ONLUS,Centro anziani,http://www.casaserenamatino.it,0833 507004,"Via Vittorio Emanuele II, 137",Matino,,info@casaserenamatino.it,https,WordPress,Sì,Netsons Network,79,91,100.00,Sì,No
Casa di Riposo Rsa Giovanni Paolo II,Casa di riposo,,0836 667450,"Via Papa Giovanni Paolo II, 7",Soleto,,,,,,,,,,,
Casa di Riposo RSA Villa Iris Fulgenzio Residenza per Anziani,Casa di riposo,https://www.korian.it/strutture/rsa-villa-iris-fulgenzio,0832 396033,"Via Cesare Battisti, 53",Lecce,,info.villairisfulgenzio@korian.it,https,Vue,No,Microsoft Corporation,46,73,100.00,Sì,No
San Domenico Residenza Sanitaria Assistenziale,Casa di riposo,https://www.korian.it/strutture/rsa-san-domenico,0832 613757,"Via Monte Grappa, 16",Cavallino,,info.sandomenico@korian.it,https,Vue,No,Microsoft Corporation,46,73,100.00,Sì,No
Active Home Care - Assistenza Domiciliare,Assistenza agli anziani,http://www.activehomecare.it,0833 579517,"Piazza Giuseppe Mazzini, 15",Nardò,,,https,ASP.NET,No,Aruba S.p.A,63,82,91.00,Sì,No
Villa Jolanda Srl,Casa di riposo,https://www.casadiriposovillajolanda.it,349 781 3578,"Via Giovanni Paolo II, 28",San Cesario di Lecce,,info@casadiriposovillajolanda.it,https,WordPress,No,Aruba S.p.A.,36,65,85.00,Sì,No
Casa di Riposo Peschiulli,Casa di riposo,http://www.casadiriposovitopeschiulli.it,0833 917041,Contrada Ospina snc (SP222,Racale,,casadiriposovitopeschiulli@gmail.com,https,React,No,Aruba S.p.A.,67,95,92.00,Sì,No
Dolce Età,Casa di riposo,,340 932 0227,"Via XX Settembre, 108",Lizzanello,,,,,,,,,,,
Residenze Quarta Età,Casa di riposo,,389 196 4017,"Via Unità d'Italia, 23",Trepuzzi,,,,,,,,,,,
R.S.A. Celestino Galluccio - Residenza Sanitaria Assistenziale,Casa di riposo,https://www.residenzegalluccio.it,335 789 9612,"Via Corigliano, 62",Galatina,,areasociale@residenzegalluccio.it,https,WordPress,Sì,Serverplan s.r.l.,54,55,92.00,Sì,No
Casa protetta Albesani,Casa di riposo,,347 296 1662,Via Pinco Centonze,Monteroni di Lecce,,,,,,,,,,,
LUNGA VITA casa alloggio per anziani,Casa di riposo,http://www.coopgenss.com,0832 321586,"Via Luigi Einaudi, 16",Monteroni di Lecce,,info@genss.it,https,Joomla,No,Keliweb S.R.L,56,70,92.00,Sì,No
Residenza San Giuseppe,Casa di riposo,,0832 725953,Via Don A. Leopoldo,Magliano,,,,,,,,,,,
