Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
1796 - B&B,Bed & Breakfast,,0175 343753,"via Vottero, 27",Barge,,,,,,,,,,,
Locanda di Campagna Guardabosone,Bed & Breakfast,,351 885 4693,"Via Roma, 37G",Guardabosone,,,,,,,,,,,
B&B Maria Luisa,Bed & Breakfast,,340 408 1614,"Via Centro, 11",Rimasco,,,,,,,,,,,
B&B Ca' da Laura,Bed & Breakfast,,349 731 7504,"Frazione Sisola, 1",Rocchetta Ligure,,,,,,,,,,,
Ca' Battisti,Bed & Breakfast,,346 162 6760,"Via Carle Costanzo, 94",Barge,,,,,,,,,,,
Agriturismo Alpi,Hotel,,377 249 2133,"Frazione Borassi, 46",Roccaforte Ligure,,,,,,,,,,,
Agriturismo Spizzirò,Agriturismo,,320 756 9815,"Località Spizzirò, 17",Bagnaria,,,,,,,,,,,
Casa Vicino,Hotel,,353 357 8474,"frazione Pallavicino, 22",Cantalupo Ligure,,,,,,,,,,,
B&B La Mondarella,Bed & Breakfast,,340 845 1628,"Via Lungaserra, 25",Barge,,,,,,,,,,,
StradaFacendo B&B CIN IT010065C1FD5URDUS,Bed & Breakfast,,334 662 7166,"Località Pareto, 49",Pareto,,,,,,,,,,,
Spineto House,Bed & Breakfast,,339 323 2547,"Via Bruno Buozzi, 6",Spineto Scrivia,,,,,,,,,,,
LA BEDOLLA ‘41,Bed & Breakfast,,348 449 4790,"Str. Bedolla, 41",Tortona,,,,,,,,,,,
B&B Casa Adele,Bed & Breakfast,,347 875 7947,"Via G. Brodolini, 18",Serravalle Scrivia,,,,,,,,,,,
B&B Antica Casa Occitana,Bed & Breakfast,,335 777 5329,"Borgata Palazzo, 24",Sampeyre,,,,,,,,,,,
B&B Montemarzino,Bed & Breakfast,,334 226 5576,Via Segagliate,Segagliate,,,,,,,,,,,
B&B Caselle Cascina Della Rocca,Bed & Breakfast,,351 789 4667,"Via del Lazzaretto, 10",Caselle Torinese,,,,,,,,,,,
Affittacamere Le Cascate,Bed & Breakfast,http://www.ghironda.com/valmaira/pages/238945.htm,348 266 9525,"SP422, 53",Chiappera,,webmaster@ghironda.com,http,ASP.NET,No,Aruba S.p.A. Network,100,97,73.00,Sì,No
Wild Side casa vacanze Valsesia,Hotel,,348 707 7821,"Frazione Grampa, 4",Mollia,,,,,,,,,,,
Bed and Breakfast Zurbriggen,Hotel,,347 966 0881,"Via Monte Rosa, 72a",Staffa,,,,,,,,,,,
B&B La Casa dei Mimirs,Bed & Breakfast,http://www.lacasadeimimirs.com/,347 255 6314,Frazione San Vito 3,Garbagna,,,https,ASP.NET,No,Aruba S.p.A. Network,97,98,82.00,Sì,No
B&B Caselle,Bed & Breakfast,,328 842 9348,"Via Gonella, 42",Caselle Torinese,,,,,,,,,,,
La Traversina Agriturismo di Charme,Agriturismo,http://it.latraversina.com/,0143 61377,La Traversina Agriturismo di Charme 109,Stazzano,,latraversina@latraversina.com,https,ASP.NET,No,Net & Com s.r.l.,46,77,83.00,Sì,No
La Casa Dei Masue',Agriturismo,,335 572 7944,"Strada Ghiglini, 21",Alba,,,,,,,,,,,
B&B Mermaid n 16/a,Bed & Breakfast,,351 820 3900,"via meruzzano, n 16/a",Treiso,,,,,,,,,,,
Hotel Alpi Cozie,Hotel,,349 838 9604,"Borgo Villa, 109",Acceglio,,,,,,,,,,,
Rifugio di Viviere,Rifugio di montagna,http://www.rifugiodiviviere.com/,0171 164 5470,Borgata Viviere,Acceglio,,info@rifugiodiviviere.com,http,React,No,Aruba S.p.A,71,93,100.00,Sì,No
Ristorante Delzanno,Ristorante,,0163 51230,"Regione Crosa, 8",Varallo,,,,,,,,,,,
Azienda Agricola Di Ravera Giorgio,Agriturismo,https://www.agriturismoraveragiorgio.com/it/,339 599 1888,"Frazione S. Cristina, 24",Garbagna,,agriturismoraveragiorgio@gmail.com,https,WordPress,No,SEEWEB s.r.l.,62,70,92.00,Sì,No
Bed and Breakfast Balli coi Lupi,Bed & Breakfast,,349 114 6432,"Fraz. Santa Cristina, 17/B",Varzi,,,,,,,,,,,
Hotel Niagara,Hotel,,011 991 4017,"Via Carlo, Via C. Cravero, 70",Caselle Torinese,,,,,,,,,,,
Foresteria La Merlina,Agriturismo,http://www.foresterialamerlina.it/,347 174 7634,località Ca' Bellaria,Dernice,,,https,WordPress,Sì,"Cloudflare, Inc.",39,75,100.00,Sì,No
La Casa di Nonna Pina,Bed & Breakfast,,348 073 9395,frazione Vigo 13,Albera Ligure,,,,,,,,,,,
B&B Il bosco delle terrecotte,Bed & Breakfast,,333 710 7551,"Via Vigne di Spagna (numeri pari), 18",Barge,,,,,,,,,,,
Cascina dei Gelsi,Agriturismo,,347 384 6419,"Via Cerchetta, 12",Gerbidi,,,,,,,,,,,
Il Ghirovago,Bed & Breakfast,http://www.ilghirovago.com/,333 535 2125,"Via Rolle Pietro, 13",Venaria Reale,,bnb.ilghirovago@gmail.com,https,WordPress,No,Aruba S.p.A. Network,55,81,92.00,Sì,No
Art Bed & Breakfast,Bed & Breakfast,,348 573 3138,"Località Croso, 26",Carrega Ligure,,,,,,,,,,,
Barcala Bed & Breakfast,Bed & Breakfast,,348 225 2175,"Via San Bernardo, 28",Scopa,,,,,,,,,,,
Locanda Mistral,Hotel,http://www.locandamistral.com/,348 585 2841,"Borgata Ponte Maira, 26",Ponte Maira,,,https,Drupal,Sì,IPB Internet Provider in Berlin GmbH,64,69,92.00,Sì,No
Hotel Ristorante Da Bruno,Ristorante,https://hotel-ristorante-da-bruno.viaggiareconstile.top/,0143 90060,"Loc. San Nazzaro, 11",Albera Ligure,,,https,WordPress,No,Ipxo LLC,65,88,85.00,Sì,No
